date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2014-04-01,43,15,46,64,24,30,49,33,66,29,24,39,77,58,60,39,78,37,80,65,46,14,72,58,52,81,30,70,68,2,66,29,79,41,63,84,0,48,45,48,29,80,56,43
2014-05-01,43,18,45,50,27,42,58,32,66,26,24,39,75,60,60,36,76,34,79,71,41,10,61,63,53,90,31,71,74,2,58,31,76,41,61,89,0,53,43,53,26,78,60,38
2014-06-01,47,23,43,53,23,38,61,29,69,24,18,42,65,55,63,35,78,37,77,67,35,9,100,59,46,86,34,72,63,2,31,33,76,40,58,65,0,61,45,51,20,65,47,39
2014-07-01,47,35,39,44,20,36,51,24,63,22,17,45,52,57,66,32,77,37,73,75,34,9,68,60,47,86,31,68,67,2,20,39,79,41,58,46,0,66,50,52,21,52,40,36
2014-08-01,42,13,45,40,17,47,76,24,59,21,19,47,56,59,67,37,72,33,69,72,30,8,54,60,57,84,27,63,68,2,12,28,73,39,65,41,0,75,62,49,33,47,39,33
2014-09-01,46,7,47,70,23,40,65,27,69,23,19,41,72,60,63,40,78,44,78,63,30,8,52,58,47,87,38,69,83,2,39,36,76,41,65,65,0,65,44,53,24,74,58,36
2014-10-01,50,0,53,76,26,36,47,32,71,24,27,38,82,66,63,38,85,49,78,56,38,8,71,64,52,88,30,71,79,2,53,33,73,38,72,78,0,55,44,55,34,84,67,37
2014-11-01,57,0,69,80,28,37,48,33,64,24,26,36,92,75,53,47,84,36,79,53,33,9,50,61,55,84,28,73,69,2,63,31,64,36,72,61,0,48,41,51,39,89,73,39
2014-12-01,59,9,75,50,24,37,43,28,58,23,25,41,68,66,48,44,82,28,71,48,32,7,66,58,59,71,23,61,46,2,44,30,54,37,64,68,0,52,44,51,36,73,61,30
2015-01-01,61,6,63,66,33,39,64,34,76,23,26,45,83,57,67,74,85,36,97,65,47,9,54,62,56,96,35,74,74,2,65,38,78,46,74,71,0,46,46,64,36,88,71,43
2015-02-01,52,9,53,63,33,54,52,35,76,24,26,38,87,62,70,92,86,37,89,63,40,9,47,68,59,94,33,74,74,3,74,36,81,44,73,78,0,44,50,63,42,93,68,38
2015-03-01,51,7,51,84,35,45,66,37,76,24,28,39,89,64,73,83,84,41,91,66,71,11,51,63,55,93,33,74,77,2,77,32,76,46,65,72,0,49,51,64,37,96,69,41
2015-04-01,65,18,49,73,29,51,43,34,72,25,28,38,76,67,73,45,86,42,87,67,61,17,66,61,55,87,33,72,69,2,82,32,68,45,69,81,0,50,49,59,35,90,65,41
2015-05-01,62,16,45,71,29,36,66,34,69,26,27,42,75,64,66,37,79,39,87,71,37,13,53,63,57,89,35,75,71,2,72,31,69,50,61,84,0,48,56,56,41,79,65,37
2015-06-01,54,22,47,63,19,34,76,29,72,25,21,43,64,61,75,39,81,41,88,72,39,13,43,62,50,87,37,74,74,2,37,31,68,41,59,53,0,51,61,51,51,67,55,39
