date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,Forex rate,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2024-06-01,81,0,82,0,55,0,52,32,69,0,46,0,65,0,0,80,69,83,88,0,0,68,91,0,94,0,86,0,100,0,0,0,0,0,0,0,0,0,0,46,0,26,49,42
2024-07-01,100,0,82,0,50,0,67,34,86,0,53,0,68,0,0,81,100,81,82,0,0,58,100,0,90,0,86,0,53,0,0,0,0,100,0,0,0,0,0,30,0,19,33,46
2024-08-01,85,0,81,0,50,0,72,32,73,0,58,0,64,0,0,82,86,82,83,0,0,43,94,0,89,0,87,0,62,0,0,0,0,0,0,0,0,0,0,37,0,0,35,52
2024-09-01,80,0,75,0,48,0,57,35,58,0,55,0,61,0,0,85,78,84,64,0,0,43,79,0,89,0,86,0,55,0,0,0,0,0,0,0,0,0,0,54,12,29,53,59
2024-10-01,81,0,82,0,63,0,92,39,53,0,51,0,60,0,0,92,72,87,50,0,0,64,80,0,86,0,92,0,81,0,0,0,0,0,0,0,0,0,0,48,17,25,74,59
2024-11-01,89,0,100,0,71,0,73,39,58,0,52,0,63,0,0,94,79,86,43,0,0,54,72,0,87,0,91,0,80,0,0,0,0,0,0,0,0,0,0,61,16,29,71,54
2024-12-01,86,0,86,0,56,0,77,37,54,0,48,0,61,0,0,97,85,100,46,0,0,49,70,0,77,0,88,0,46,0,0,0,0,0,0,0,0,0,0,41,15,37,55,41
2025-01-01,94,0,89,0,58,0,83,45,53,0,53,91,52,0,0,94,95,96,74,0,0,54,73,0,90,0,96,0,74,0,0,0,0,0,0,0,0,0,0,50,0,38,59,59
2025-02-01,83,0,88,0,50,0,69,45,63,0,49,0,51,0,0,98,78,96,72,0,0,47,79,0,99,0,100,0,68,0,0,0,0,0,0,0,0,0,0,44,0,32,64,61
2025-03-01,80,0,76,0,68,0,79,40,59,0,49,0,58,0,0,93,98,88,66,0,0,51,79,59,87,0,97,0,47,0,0,0,0,0,0,0,0,0,0,57,0,54,65,60
2025-04-01,78,0,77,0,59,0,82,39,65,0,48,0,62,0,0,95,80,92,68,0,0,65,78,0,87,0,91,0,58,0,0,0,0,0,0,0,0,0,0,53,24,33,61,52
2025-05-01,76,0,67,0,52,0,53,35,47,0,45,0,58,0,0,93,70,83,80,0,0,65,79,0,83,0,89,0,46,0,0,0,0,0,0,0,0,0,0,39,0,34,50,48
2025-06-01,77,0,69,0,54,0,42,38,64,100,54,0,62,0,0,93,99,93,95,0,0,43,92,0,89,0,97,0,83,0,0,0,0,0,0,0,0,0,0,68,0,28,44,54
2025-07-01,93,0,85,0,45,0,73,34,48,0,46,0,64,0,0,89,74,91,89,75,0,40,97,0,84,0,91,0,95,0,0,0,0,0,0,74,0,0,0,28,0,0,35,51
2025-08-01,98,0,83,0,53,0,57,38,61,0,46,0,64,0,0,90,90,91,100,0,0,36,96,0,85,54,91,0,0,0,0,0,0,0,0,0,0,0,0,42,0,24,34,49
2025-09-01,75,0,70,0,50,0,78,34,39,0,45,0,54,0,0,89,58,84,68,0,0,43,92,0,76,0,85,0,0,0,0,0,0,0,0,0,0,0,0,63,0,42,65,58
2025-10-01,76,0,81,0,62,0,62,46,51,0,52,0,60,0,0,100,82,88,57,0,0,43,84,0,91,0,95,0,0,0,0,0,0,93,0,0,0,0,0,55,0,57,65,58
