date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant
2016-01-01,55,0,51,70,26,0,0,62,72,30,31,36,58,39,32,41,73,52,77,70,50,29,46,75
2016-02-01,53,0,55,44,28,0,0,60,74,31,39,37,73,39,93,37,79,42,75,58,50,31,55,82
2016-03-01,51,0,60,50,29,0,0,70,70,41,37,36,82,41,42,31,78,44,80,60,62,21,49,79
2016-04-01,52,0,66,48,37,0,0,76,78,39,42,32,64,44,68,47,85,43,79,67,56,25,49,75
2016-05-01,53,0,56,57,27,65,0,65,68,41,30,36,55,42,29,25,78,41,79,77,72,23,52,75
2016-06-01,53,0,62,42,18,0,0,56,60,31,24,42,35,35,87,37,72,43,68,76,58,21,100,74
2016-07-01,56,0,76,0,13,0,0,41,57,41,24,48,28,41,86,25,71,35,58,82,60,18,56,79
2016-08-01,54,0,81,55,18,0,0,52,59,44,0,42,33,40,79,42,72,34,61,82,78,15,46,78
2016-09-01,52,0,58,40,22,0,0,54,69,39,24,36,37,42,77,22,79,41,78,69,70,21,52,77
2016-10-01,58,0,56,46,32,0,0,59,72,35,31,35,61,48,51,21,82,45,78,62,74,47,48,77
2016-11-01,61,0,100,60,31,0,0,75,74,37,36,36,53,63,49,32,83,39,71,49,81,30,55,73
2016-12-01,61,0,74,0,30,0,0,69,60,34,47,37,56,60,32,26,79,32,66,48,67,25,58,77
2017-01-01,67,0,60,55,29,0,0,67,81,37,21,37,64,37,38,44,77,46,85,66,63,47,65,73
2017-02-01,65,0,58,76,32,0,0,81,75,43,47,37,71,38,68,42,84,45,79,66,61,40,48,81
2017-03-01,60,0,53,57,33,0,0,63,78,37,39,40,98,44,70,42,87,45,80,66,85,29,41,79
2017-04-01,66,0,57,47,32,0,0,68,74,39,30,37,65,49,51,30,83,44,82,73,65,20,45,80
2017-05-01,60,0,51,0,32,0,0,67,70,43,26,41,54,46,51,41,78,44,80,70,88,26,49,72
2017-06-01,64,0,54,0,24,0,0,65,59,33,23,54,25,42,60,29,72,42,70,79,43,21,34,80
2017-07-01,64,0,46,0,18,0,0,40,63,38,0,54,32,46,49,30,73,50,65,80,47,22,34,85
2017-08-01,65,0,54,44,20,0,0,46,62,35,21,53,22,45,65,22,73,42,69,72,57,20,44,87
2017-09-01,66,0,46,35,23,0,0,52,68,36,25,41,50,47,33,22,81,44,84,64,56,23,48,78
2017-10-01,64,0,52,41,26,77,0,64,70,34,42,46,38,52,43,35,80,51,81,60,72,25,46,77
2017-11-01,71,0,86,56,34,0,0,78,74,37,24,42,72,67,56,29,80,46,83,53,86,29,52,79
2017-12-01,69,0,60,38,30,0,0,54,58,32,49,45,48,63,41,34,74,37,64,46,66,25,50,81
2018-01-01,73,0,48,55,31,0,0,58,82,37,15,51,58,45,61,45,78,61,83,65,73,41,41,74
2018-02-01,69,0,44,71,36,0,0,55,72,40,36,47,50,48,46,40,81,44,78,58,83,33,55,76
2018-03-01,69,0,43,52,31,0,0,58,69,41,27,48,64,45,62,44,81,41,84,68,47,27,39,79
2018-04-01,68,0,38,54,31,63,0,70,73,36,29,44,70,48,49,35,79,47,81,73,75,28,75,72
2018-05-01,68,0,38,72,30,0,0,71,74,39,32,50,71,44,64,38,77,45,79,73,79,25,48,73
2018-06-01,64,93,35,58,21,0,0,55,65,37,28,50,26,42,56,34,71,50,73,81,41,21,80,79
2018-07-01,66,0,38,41,20,0,0,53,58,35,27,51,32,44,52,33,69,52,65,85,45,23,56,79
2018-08-01,65,0,44,36,20,0,0,48,63,40,34,47,28,46,56,29,72,44,70,83,54,22,35,88
2018-09-01,69,0,42,66,26,0,0,58,68,35,33,42,48,51,72,46,78,47,86,73,58,24,47,83
2018-10-01,69,0,40,56,28,0,0,66,82,33,29,44,49,55,60,23,79,54,85,61,66,28,37,79
2018-11-01,75,0,68,100,28,0,0,87,76,41,44,45,61,66,48,32,81,49,84,50,53,23,39,75
2018-12-01,83,0,50,50,30,0,0,100,60,42,50,48,38,69,37,18,71,42,70,46,58,25,59,84
2019-01-01,81,0,38,59,31,0,0,82,80,41,19,51,54,41,61,50,73,63,85,62,57,40,36,71
2019-02-01,80,0,47,72,34,62,0,65,73,40,30,46,52,44,57,38,72,50,89,60,48,42,39,78
2019-03-01,72,0,41,78,32,0,0,63,75,41,23,50,83,45,74,36,79,47,83,64,64,28,42,77
2019-04-01,76,0,40,50,27,0,0,64,75,40,27,45,49,46,79,46,77,50,84,71,58,29,61,74
2019-05-01,71,0,37,70,28,0,0,61,72,41,22,49,52,46,58,37,79,49,81,79,65,28,52,80
2019-06-01,76,0,38,56,24,0,0,47,65,40,18,51,0,45,91,31,76,51,77,77,47,24,39,77
2019-07-01,78,0,36,0,20,58,0,43,65,44,22,53,32,48,70,34,77,49,72,90,45,23,32,86
2019-08-01,76,0,32,31,25,0,0,51,63,44,21,51,31,51,69,39,77,43,77,83,44,22,38,90
2019-09-01,73,0,32,38,24,0,0,56,75,40,30,48,45,49,71,41,83,44,93,78,53,22,46,79
2019-10-01,67,0,37,83,28,0,0,57,80,41,48,45,38,56,93,42,83,51,86,67,72,26,41,83
2019-11-01,78,0,64,73,30,61,0,65,80,59,42,41,67,69,73,37,80,44,89,52,65,28,46,81
2019-12-01,85,0,41,60,29,0,0,82,63,61,27,47,33,68,36,24,74,41,77,53,61,33,68,81
2020-01-01,90,0,34,52,30,0,0,60,82,57,21,55,53,40,43,34,77,66,89,68,62,52,43,70
2020-02-01,85,0,35,62,32,51,0,81,83,50,40,55,52,46,49,38,82,66,91,61,64,37,41,73
2020-03-01,83,0,30,73,29,0,40,52,100,53,100,100,78,57,49,38,87,52,78,43,50,26,36,39
2020-04-01,100,0,52,59,35,0,0,62,86,55,63,75,59,44,33,35,77,69,83,31,56,48,42,22
2020-05-01,89,0,51,51,37,48,0,60,70,57,70,56,73,40,51,27,83,58,87,41,53,41,36,27
2020-06-01,84,0,38,34,22,0,0,49,71,53,39,57,16,42,31,26,100,65,88,64,45,37,35,38
2020-07-01,83,0,39,41,20,0,0,53,77,60,35,56,0,49,57,45,84,72,78,80,57,43,41,84
2020-08-01,83,0,31,28,23,0,0,48,68,48,28,70,15,46,32,30,83,58,81,72,53,37,29,99
2020-09-01,76,0,33,35,28,56,0,46,82,48,31,67,56,48,52,45,84,56,91,55,59,39,33,73
2020-10-01,83,0,39,31,24,51,0,51,82,50,56,74,36,44,52,25,80,53,79,39,66,30,40,38
2020-11-01,85,0,53,71,26,0,0,64,72,59,29,60,52,45,40,35,71,42,90,38,50,28,48,32
2020-12-01,86,0,51,57,32,0,0,52,63,47,33,59,41,55,49,27,83,41,80,40,42,31,45,67
2021-01-01,95,0,36,87,34,57,0,51,79,62,44,67,56,43,35,42,67,49,85,40,58,53,44,24
2021-02-01,95,0,37,33,38,50,0,58,77,62,34,57,71,47,50,32,73,44,96,43,61,34,45,28
2021-03-01,95,0,37,38,45,0,0,60,79,70,24,54,82,46,47,37,71,47,90,44,66,23,46,26
2021-04-01,92,0,36,46,37,0,0,60,79,58,30,55,58,47,32,40,74,50,88,41,66,21,42,27
2021-05-01,92,0,28,57,46,0,0,58,75,57,28,53,40,50,51,30,82,58,79,47,58,22,60,37
2021-06-01,89,0,25,0,31,0,0,46,70,57,0,54,0,48,26,44,74,63,78,55,48,21,67,68
2021-07-01,87,100,26,0,35,0,0,44,72,57,16,59,0,47,42,27,72,54,72,65,40,18,50,79
2021-08-01,88,0,26,0,29,0,0,40,69,56,28,61,21,50,35,25,73,52,75,67,41,14,38,93
2021-09-01,75,0,27,41,42,0,0,61,77,44,25,47,42,51,26,39,71,61,92,59,60,17,53,86
2021-10-01,81,0,29,43,56,0,0,55,80,47,46,48,37,61,39,29,75,67,84,57,64,26,48,86
2021-11-01,80,0,40,82,60,0,0,61,83,57,38,54,51,77,70,24,70,51,90,44,63,30,47,74
2021-12-01,87,0,35,33,58,0,0,51,74,66,31,59,58,81,50,25,73,42,73,39,53,36,52,73
2022-01-01,95,0,27,58,80,0,0,56,89,69,41,58,49,53,45,44,81,64,94,57,64,69,42,72
2022-02-01,91,0,33,52,97,71,0,60,80,57,44,59,73,54,41,58,77,63,95,63,50,58,48,89
2022-03-01,87,0,31,70,92,0,0,72,83,61,41,59,80,54,53,47,84,57,85,73,44,55,45,81
2022-04-01,88,0,33,60,89,39,0,67,78,58,37,49,76,55,60,44,82,56,83,80,60,47,45,85
2022-05-01,82,0,32,60,94,39,0,60,81,57,37,46,54,58,73,55,78,60,91,86,72,32,45,85
2022-06-01,87,0,26,28,100,56,0,83,69,58,33,49,24,54,46,50,75,69,83,86,50,25,33,87
2022-07-01,88,0,27,28,79,0,0,89,66,57,24,50,17,52,49,41,75,55,83,81,64,28,36,86
2022-08-01,80,0,31,0,83,0,0,41,68,60,15,46,31,56,66,50,70,51,81,86,51,26,40,94
