date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2014-08-01,40,0,58,0,11,0,41,11,25,22,17,69,33,45,8,11,40,19,58,45,12,39,53,59,7,61,14,39,0,42,0,0,0,11,0,0,40,0
2014-09-01,36,0,55,0,13,0,0,16,28,26,0,60,47,43,9,12,41,20,57,38,30,48,50,53,6,68,0,41,18,32,0,0,0,11,32,0,50,0
2014-10-01,38,0,62,0,12,0,50,16,27,24,20,65,52,44,7,12,41,21,62,43,41,45,46,53,7,68,19,40,18,30,0,0,0,16,46,0,50,0
2014-11-01,38,0,71,0,15,0,0,12,27,22,29,65,41,42,0,12,44,21,61,42,25,54,44,52,6,65,15,37,0,33,68,0,0,9,34,0,41,0
2014-12-01,42,0,70,0,15,0,32,13,23,27,18,69,36,51,0,9,41,19,64,46,24,30,45,58,8,59,0,39,26,19,0,0,0,8,32,0,43,0
2015-01-01,42,0,70,0,19,0,35,13,26,25,21,81,37,55,0,14,41,22,59,41,21,39,47,57,7,65,0,41,13,44,0,0,0,13,0,0,42,0
2015-02-01,37,0,77,0,16,0,0,12,27,25,20,100,47,55,0,15,42,21,61,39,18,49,43,62,6,69,16,41,20,30,0,0,0,8,31,0,57,0
2015-03-01,36,0,78,0,21,0,40,16,29,30,0,99,44,59,7,14,40,20,63,41,32,56,42,56,11,74,0,44,13,47,0,0,0,12,53,0,61,0
2015-04-01,81,0,72,0,18,0,31,16,32,28,25,75,54,59,6,8,43,22,56,45,34,56,44,57,9,65,0,42,19,33,74,0,23,16,0,0,61,0
2015-05-01,70,100,67,0,17,0,49,16,26,26,29,66,44,55,7,15,41,21,57,49,32,52,40,54,9,62,15,40,16,32,0,0,0,9,31,0,48,0
2015-06-01,56,0,73,0,22,0,43,13,24,26,27,68,38,56,6,14,41,20,58,51,32,59,40,66,11,61,0,45,17,36,0,0,0,14,0,0,46,0
2015-07-01,58,0,84,0,11,0,40,13,24,27,29,68,25,65,7,10,41,21,57,61,22,54,40,79,12,54,0,44,21,41,0,0,0,0,34,0,57,0
