date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,drive,wage,active,rental,annuity,rebate,goal,restaurant,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Bank loan rate,applicant,takeaway,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2024-02-01,63,0,45,0,58,0,59,73,42,0,50,0,75,0,99,70,85,88,0,0,22,95,97,0,84,0,57,0,0,0,0,0,0,0,0,0,0,0,0,64,22,27,54,45
2024-03-01,65,0,52,0,47,0,39,66,65,0,47,0,70,0,98,90,74,80,0,0,20,94,86,0,72,0,31,0,0,0,0,0,0,0,0,0,0,78,0,67,21,24,68,41
2024-04-01,63,0,45,0,66,0,54,68,42,0,43,0,60,0,97,88,87,67,0,0,27,74,75,0,74,0,52,0,0,0,0,0,0,0,0,0,0,0,0,65,32,23,73,44
2024-05-01,63,0,52,0,43,0,52,68,53,0,35,0,61,0,96,63,73,57,0,0,17,62,85,0,69,0,52,0,0,0,0,0,0,0,0,0,0,0,0,67,42,20,67,48
2024-06-01,70,0,47,0,54,0,32,72,71,100,32,0,59,0,92,59,75,58,0,0,25,57,78,0,70,0,42,0,0,0,0,0,0,0,0,0,0,0,0,68,35,0,65,40
2024-07-01,78,0,39,0,48,0,38,69,69,0,43,0,60,0,83,97,74,66,0,0,26,61,77,0,75,0,49,0,0,0,0,0,0,0,0,0,0,0,0,69,18,18,53,43
2024-08-01,69,0,47,0,54,0,34,70,57,0,37,0,66,0,85,74,78,64,0,0,18,68,77,0,77,0,34,0,0,100,0,0,0,0,0,0,0,0,0,59,21,18,58,46
2024-09-01,65,0,38,0,49,0,58,67,48,0,31,0,58,0,87,83,67,52,0,0,19,49,77,0,73,0,64,0,0,0,0,0,0,0,0,0,0,0,0,61,12,14,57,47
2024-10-01,67,0,39,0,43,0,51,73,51,98,35,85,57,0,93,62,73,53,22,0,24,42,78,0,72,0,53,0,58,0,0,0,0,0,0,0,0,0,0,69,19,24,60,46
2024-11-01,75,0,56,0,48,0,63,73,54,0,47,0,66,0,91,77,89,66,0,0,24,60,76,0,79,0,60,0,0,0,0,0,0,0,0,0,0,0,0,63,8,22,53,40
2024-12-01,77,0,55,0,40,0,51,76,41,0,44,0,79,0,77,88,86,91,0,0,23,98,73,0,100,0,50,0,0,0,0,57,0,0,0,0,0,0,0,59,0,12,35,37
2025-01-01,77,0,50,0,66,0,48,89,56,0,55,0,78,0,87,88,89,100,0,0,22,100,95,100,94,0,65,0,0,0,0,0,0,0,0,0,0,0,0,67,0,14,43,62
2025-02-01,72,0,36,0,45,0,51,79,26,0,65,0,77,0,100,81,78,90,0,0,25,94,79,0,81,0,100,0,0,0,0,0,0,0,0,0,0,0,0,65,14,23,62,47
2025-03-01,65,0,36,0,64,0,34,75,62,0,57,0,73,0,99,69,79,84,0,0,20,91,82,0,86,0,69,0,0,0,0,0,0,0,0,0,0,84,0,62,19,19,66,47
2025-04-01,66,0,49,0,37,0,0,80,71,0,46,0,82,0,99,100,77,71,0,0,25,79,82,0,87,0,68,0,0,0,0,0,0,0,0,0,70,0,0,67,23,12,55,43
2025-05-01,69,0,50,0,64,0,41,85,41,0,39,0,65,0,97,75,78,64,0,0,19,61,88,0,89,0,37,0,0,0,0,0,0,0,0,0,0,0,0,58,30,26,56,47
2025-06-01,70,0,50,0,42,0,40,100,54,0,52,0,73,0,98,99,90,78,18,0,27,68,100,97,98,0,49,0,0,0,68,0,0,0,100,0,0,0,0,58,22,20,62,44
2025-07-01,75,0,45,0,45,0,41,88,64,0,39,0,70,0,90,96,77,66,0,0,18,74,82,0,90,0,50,0,0,0,0,0,0,0,0,0,0,0,0,57,9,28,48,48
2025-08-01,68,0,50,0,52,0,34,70,57,0,40,0,70,0,96,58,81,60,0,0,23,67,85,0,81,0,45,0,0,0,0,0,0,0,0,0,0,0,0,70,18,13,63,42
2025-09-01,62,0,41,0,96,0,64,64,52,0,42,0,62,0,95,50,81,42,0,0,32,45,80,0,71,0,43,0,0,0,0,0,0,0,0,0,0,0,0,58,15,13,69,43
2025-10-01,62,0,51,0,53,0,57,76,59,0,49,0,68,0,99,37,77,49,0,0,19,48,72,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,19,18,82,41
