date,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht,/m/02v_8dy,/m/09jx2,/m/04n7dpf,/m/0g_fl,/m/01rd35,/m/016ldw,/g/11cks2gbc8,/m/0cvgr,/m/06bmj_x,/m/06lry,/m/0hbm6,/m/0drqp,/m/014dsx,/m/07s_c,/g/11bc57hf91,/m/01tzw5,/m/018m33,/g/121g16mn,/g/1216wtvp,/m/088p1q,/g/1236svz8,/m/0pb8nv_,/m/02r5p3,/m/05457c,/m/0218w7,/g/11w4h00ll9,/m/06bmj_y,/m/026gdg4,/m/09y23_,/m/01s_5,/m/01cf44,/m/0545k,/m/01cf0p,/m/0cs24,/m/0z_xz,/m/0d130,/m/0hdyy,/m/011d_9rh,/m/04sng5,/m/0hhw8xd,/m/05nxj0,/m/0c40cq0,/m/06njd,/m/081zw_,/m/02vtq7g,/m/091tvr,/m/02r49f,/m/01406c,/m/04f0h,/m/020d7_,/g/1213tqm6,/m/0h7q5bz,/m/025t20m,/m/042px7,/m/017l39,/g/11cp7w3r6w,/g/11fsrblbyd,/m/03nw7w,/g/11lc9ltvgb,/g/11s7rb01fr,/g/120lq987,/m/079gm,/g/1q582vwlz
2013-07-01,56,0,82,45,53,0,18,42,59,55,0,0,0,0,26,48,46,59,23,0,0,65,0,0,7,0,0,0,0,0,0,0,0,0,12,0,64,0,0,43,0,0,59,42,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,71,0,0,0,34,0
2013-08-01,55,0,87,43,50,0,18,41,51,38,0,0,0,0,24,59,41,63,24,71,0,59,0,0,13,0,0,0,0,0,0,0,0,0,10,0,0,0,0,38,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0
2013-09-01,62,0,58,46,48,0,19,37,54,54,0,0,0,0,31,58,46,59,10,0,0,66,0,0,11,0,0,0,0,0,0,0,0,0,9,0,31,0,0,52,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74,0,0,0,0,0
2013-10-01,45,0,68,47,45,0,12,40,60,30,0,0,0,0,28,63,43,58,18,62,0,59,0,0,11,0,0,0,0,0,0,0,0,0,9,0,31,0,80,29,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,35,0
2013-11-01,41,0,65,41,44,0,15,37,56,26,0,0,0,0,28,69,38,62,20,65,0,63,0,0,9,0,0,0,0,0,0,0,0,0,9,0,35,17,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,53,0,0,0,0,0
2013-12-01,43,0,51,39,45,0,13,39,45,44,0,0,0,0,48,57,33,56,24,0,0,56,0,0,0,0,0,0,0,87,0,0,0,0,11,0,0,0,0,36,0,0,52,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,68,0,0,0,0
2014-01-01,47,0,64,41,55,0,16,47,54,39,0,0,0,26,39,71,32,60,23,0,0,56,0,0,0,0,0,0,0,0,0,26,0,0,12,0,29,21,0,0,0,0,55,50,0,0,0,0,0,80,0,100,0,57,0,0,0,0,0,0,0,0,68,0,0,0,0,0
2014-02-01,41,0,77,48,53,0,20,46,51,52,0,0,0,0,28,57,45,57,33,0,0,55,0,0,8,0,0,0,0,0,0,0,0,0,11,0,56,0,56,35,100,100,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
2014-03-01,35,0,59,42,52,0,20,42,49,57,0,0,0,0,39,59,32,56,19,0,0,50,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,43,69,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,35,0
2014-04-01,33,0,51,36,47,0,10,41,44,50,0,0,0,0,35,56,33,58,24,0,0,48,0,0,8,0,0,0,0,63,0,0,0,0,8,0,29,0,0,42,0,0,46,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,35,0
