date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2014-04-01,19,0,62,0,35,0,67,38,42,26,38,81,50,40,44,59,79,15,68,39,40,42,74,39,18,41,30,52,0,34,0,0,40,32,0,0,62,0,0,25,16,43,86,79
2014-05-01,20,0,62,0,42,0,0,44,41,32,37,81,66,37,48,55,79,16,62,36,57,34,75,31,18,44,24,49,46,27,0,0,37,35,22,0,59,0,0,26,18,55,80,75
2014-06-01,20,0,65,0,40,0,0,46,48,35,40,91,73,35,54,67,80,20,70,38,58,55,83,34,18,42,20,52,0,45,0,0,38,40,0,0,60,0,0,26,19,59,83,83
2014-07-01,19,0,61,0,35,0,0,45,45,26,51,87,74,33,59,73,79,16,69,41,54,61,79,35,18,46,34,50,0,30,0,0,24,0,0,0,65,0,0,26,18,67,91,75
2014-08-01,20,0,66,0,30,0,0,40,41,38,35,81,42,33,41,53,73,13,62,38,48,32,74,35,20,41,16,48,50,35,0,0,0,28,0,77,52,0,0,20,14,40,70,64
2014-09-01,19,0,62,0,31,0,0,43,49,34,42,84,43,33,77,50,88,18,65,39,58,48,77,35,19,43,16,57,0,46,0,0,33,47,30,0,48,0,0,25,13,44,78,72
2014-10-01,21,0,75,0,43,0,100,41,51,39,55,83,72,35,70,57,96,18,78,37,45,42,63,39,19,45,34,57,0,36,0,0,50,26,0,0,81,0,0,27,14,60,88,75
2014-11-01,23,0,71,15,42,0,0,48,49,35,54,78,67,38,66,56,95,17,70,34,0,61,52,34,25,43,29,56,0,36,0,0,43,33,0,0,69,0,0,24,16,64,89,70
2014-12-01,23,0,65,0,35,0,0,38,45,29,49,83,65,37,39,73,86,16,63,36,51,61,48,33,24,38,18,53,0,37,0,0,28,38,26,0,66,0,0,23,15,56,88,63
2015-01-01,22,0,60,0,39,0,0,42,45,31,41,100,83,32,56,59,84,16,68,36,61,55,53,34,22,43,36,49,0,37,0,0,37,30,0,0,52,0,0,34,18,66,95,77
2015-02-01,17,0,61,0,38,0,0,45,46,33,38,94,50,31,42,62,79,14,68,40,63,39,49,36,25,46,19,51,0,28,0,0,56,48,28,0,43,0,0,28,17,50,86,80
2015-03-01,15,0,59,0,31,0,0,33,43,25,30,88,56,35,38,58,76,18,67,38,74,64,48,34,18,42,30,47,0,37,0,0,32,37,0,0,59,0,0,23,11,38,75,85
2015-04-01,18,0,60,0,34,0,0,42,46,31,44,80,57,39,31,73,82,19,70,43,37,56,47,38,22,44,19,50,0,38,0,0,46,64,0,0,72,0,0,22,11,45,86,84
2015-05-01,21,0,60,0,35,0,0,48,44,27,46,81,45,37,41,53,75,18,60,43,69,43,48,35,0,42,33,52,0,31,0,0,42,46,0,0,70,0,0,22,15,49,82,72
2015-06-01,17,0,59,0,37,0,0,43,50,29,36,85,55,36,36,66,79,16,71,42,63,53,48,34,22,42,28,51,0,30,0,0,44,40,0,0,63,0,0,33,18,57,83,83
2015-07-01,18,0,59,0,32,0,0,40,46,37,45,83,52,36,49,67,82,20,61,43,51,51,47,34,24,42,25,49,0,37,0,0,36,28,0,0,49,0,0,25,20,63,91,72
2015-08-01,15,0,59,0,32,0,0,29,39,19,40,73,45,34,45,48,67,15,52,39,64,35,52,34,11,39,23,46,0,35,0,0,37,32,0,0,52,0,0,20,15,37,73,62
2015-09-01,16,0,57,0,29,0,0,38,40,27,42,75,43,32,27,60,73,15,56,35,60,42,44,33,20,39,25,52,0,24,0,0,23,49,0,0,58,0,0,23,13,38,74,66
2015-10-01,17,30,62,0,34,0,0,40,44,22,50,72,65,36,52,54,83,17,62,34,49,53,45,35,21,42,26,49,0,36,0,0,36,20,20,0,63,0,0,28,13,51,76,70
2015-11-01,16,0,64,0,33,0,0,44,43,34,57,79,68,38,37,59,80,20,67,35,39,44,44,33,21,41,26,49,0,37,59,0,34,21,22,0,66,0,100,23,14,56,76,72
2015-12-01,15,0,68,0,33,0,70,39,41,27,50,73,50,39,34,57,76,16,57,38,42,47,41,35,17,36,19,46,0,22,0,0,56,31,0,0,64,0,0,24,14,53,73,65
2016-01-01,17,0,70,0,29,0,0,41,46,35,44,86,59,37,50,70,75,20,63,41,57,47,46,36,26,44,32,54,0,40,0,0,32,35,24,0,48,0,0,29,18,62,86,71
2016-02-01,14,0,75,0,45,0,0,43,47,38,50,77,48,40,50,78,67,20,64,44,61,46,48,40,26,46,34,55,0,31,0,0,27,45,0,0,56,0,0,28,16,47,81,77
2016-03-01,14,0,76,0,30,0,0,42,43,33,44,81,48,43,51,72,65,19,61,45,59,52,42,42,29,44,25,52,0,30,0,0,25,38,0,0,52,0,0,25,18,33,66,86
2016-04-01,17,0,77,0,40,0,0,44,44,33,60,85,62,45,57,79,70,22,66,53,45,60,42,49,17,42,22,54,0,33,0,0,33,34,21,0,70,0,0,25,9,37,68,87
2016-05-01,17,0,78,12,38,0,0,49,46,42,65,82,54,43,39,77,78,21,59,49,64,52,45,45,34,43,41,55,0,45,0,0,27,28,0,0,62,40,0,26,13,49,69,75
2016-06-01,16,0,73,16,40,0,0,51,50,37,60,85,58,42,51,75,71,20,64,49,53,59,41,45,16,45,31,56,0,42,0,0,33,37,0,58,47,0,0,27,19,54,78,84
2016-07-01,15,0,84,0,35,0,0,45,44,40,55,84,56,38,60,82,62,17,58,51,67,39,42,45,21,40,27,49,0,25,0,0,0,38,0,0,65,0,0,24,10,55,75,70
2016-08-01,14,0,83,0,29,0,69,40,42,45,40,97,48,33,76,64,59,16,53,54,57,52,39,38,32,43,24,50,0,35,0,0,27,28,0,0,57,0,0,18,12,35,61,62
2016-09-01,13,0,83,0,33,0,0,44,46,30,42,80,51,38,63,73,62,16,55,61,50,46,35,43,48,44,26,60,84,33,0,0,28,34,0,0,52,0,0,23,11,38,65,71
2016-10-01,14,0,79,0,34,0,0,43,45,38,51,73,66,41,53,60,66,21,56,50,28,50,34,50,43,40,23,54,0,35,0,0,26,30,0,0,56,0,0,20,11,52,75,69
2016-11-01,14,0,93,0,41,0,0,51,48,47,61,81,65,46,46,58,69,21,63,53,52,51,30,47,29,42,30,61,0,32,0,0,0,27,21,0,68,0,0,24,10,55,53,6
2016-12-01,14,0,88,11,36,0,0,42,43,38,57,72,51,41,41,57,65,18,54,57,47,51,29,40,26,37,31,51,0,30,0,0,29,33,0,0,74,32,0,27,6,46,41,0
2017-01-01,15,0,81,11,35,0,0,48,46,38,52,76,56,42,62,59,69,20,55,52,34,48,31,39,28,43,23,54,0,25,0,0,28,38,0,0,56,0,0,26,9,61,62,0
2017-02-01,13,0,94,0,34,0,0,46,43,42,45,79,63,36,49,75,60,17,60,51,46,57,28,37,24,42,41,54,0,30,0,0,28,37,20,0,48,0,0,25,10,39,48,0
2017-03-01,14,0,80,13,35,0,0,43,45,25,47,74,43,38,52,89,65,18,56,51,44,50,26,45,28,42,32,52,0,47,0,0,18,26,0,0,60,29,0,21,7,32,43,0
2017-04-01,14,0,71,0,34,0,0,52,47,35,59,81,52,47,42,61,67,19,59,63,58,61,28,61,36,42,26,51,0,36,0,0,28,35,26,0,92,0,0,25,6,35,48,0
2017-05-01,13,51,77,0,31,0,0,47,43,37,59,72,52,44,49,66,67,19,54,56,69,45,27,49,22,43,31,50,0,36,0,0,22,18,24,53,58,0,0,23,9,51,56,0
2017-06-01,13,69,88,0,36,0,0,47,46,37,48,78,39,43,58,88,64,20,53,49,45,49,27,45,27,42,26,52,44,36,0,0,0,22,19,0,58,0,0,24,11,58,65,0
2017-07-01,14,87,69,10,33,0,0,43,45,41,63,63,50,37,52,67,61,21,47,53,34,49,26,46,30,38,21,46,0,37,0,0,30,26,0,0,54,0,0,26,9,62,66,0
2017-08-01,13,100,75,10,30,0,52,39,38,31,44,68,34,35,47,64,56,17,45,47,38,25,26,44,29,37,24,46,0,27,0,0,24,28,17,0,50,0,0,24,8,41,55,0
2017-09-01,14,0,79,0,32,0,0,43,42,31,58,65,46,37,54,56,65,16,49,48,42,46,27,44,23,41,33,50,0,32,0,0,0,34,0,0,58,0,0,30,9,46,61,0
2017-10-01,13,0,88,0,36,0,0,49,47,36,53,63,51,42,39,68,68,19,57,52,50,56,25,48,29,43,28,54,0,32,0,0,0,26,20,0,65,0,0,30,10,57,69,0
2017-11-01,14,0,100,0,41,0,0,52,47,40,66,62,63,51,50,67,73,21,55,56,41,68,26,54,38,44,28,60,0,38,0,0,26,34,26,0,80,0,0,32,10,61,70,0
2017-12-01,13,0,93,0,34,0,0,53,45,44,65,64,50,49,33,67,73,17,56,51,41,54,26,54,26,41,28,55,0,39,0,0,21,28,22,0,79,33,0,35,11,57,57,0
2018-01-01,15,0,84,0,36,0,76,51,46,47,62,66,55,45,71,82,72,25,52,46,42,68,27,43,41,41,37,53,42,38,0,0,18,44,19,56,54,0,0,32,13,73,67,0
2018-02-01,14,53,87,0,38,0,0,46,48,52,55,61,53,43,64,70,70,22,59,46,47,65,29,43,35,39,25,53,0,46,0,0,0,21,0,0,66,0,0,27,13,49,62,0
2018-03-01,13,0,81,0,34,0,0,48,41,40,51,62,37,44,48,67,66,19,53,49,45,46,24,52,34,39,28,47,0,39,0,0,29,22,0,0,83,30,0,24,7,45,37,0
2018-04-01,13,0,82,0,35,0,0,100,47,41,62,77,39,49,55,64,71,21,57,54,50,55,27,57,40,41,30,48,0,44,0,0,30,33,20,0,93,0,0,28,8,51,41,0
2018-05-01,14,0,78,11,46,0,0,78,45,38,55,67,44,46,59,72,75,21,54,49,45,60,27,56,31,41,28,49,0,38,0,0,25,28,21,0,71,0,0,29,10,47,39,0
2018-06-01,14,0,80,0,38,0,0,74,45,43,57,100,59,47,30,87,78,22,56,47,59,62,36,50,35,42,24,55,0,39,0,0,27,21,0,0,66,0,0,29,11,0,42,0
2018-07-01,14,0,74,0,38,0,0,46,45,38,54,66,43,41,63,66,62,21,52,49,44,70,31,52,34,41,23,52,0,35,0,0,17,32,0,0,68,0,0,26,10,0,58,0
2018-08-01,12,0,69,0,37,0,0,40,39,38,47,67,36,37,69,63,53,17,51,46,64,44,25,46,21,40,30,49,0,40,0,0,19,31,0,0,52,0,0,28,8,0,45,0
2018-09-01,12,0,74,0,39,0,0,45,43,33,48,68,36,38,59,74,58,19,49,42,34,56,25,48,35,38,33,51,0,37,0,0,0,21,0,0,72,0,0,32,9,0,43,0
2018-10-01,12,0,89,10,41,0,0,53,48,34,56,65,48,47,47,74,60,25,58,47,58,36,25,54,46,42,41,59,0,39,0,0,27,31,28,0,74,0,0,28,10,51,50,0
2018-11-01,13,0,97,0,30,0,0,52,48,47,77,66,50,48,59,85,60,22,56,46,41,69,25,55,24,43,37,55,0,44,0,0,27,31,19,0,66,0,0,36,12,67,55,51
2018-12-01,13,0,82,0,35,0,68,47,42,48,49,67,51,47,57,67,52,20,48,48,58,55,25,50,36,37,30,53,0,39,0,0,0,33,19,0,73,31,0,34,12,63,70,48
2019-01-01,17,0,83,0,36,0,0,53,45,45,49,69,43,37,66,85,56,23,46,54,45,59,25,46,39,39,32,51,0,29,0,0,23,32,20,0,56,0,0,45,13,84,84,53
2019-02-01,16,0,75,0,34,0,0,45,55,40,52,63,47,38,55,77,54,23,52,51,46,52,26,43,29,41,39,51,0,38,0,0,28,34,0,0,58,0,0,36,11,55,69,67
2019-03-01,13,26,84,0,31,0,0,44,43,33,50,67,31,43,60,83,52,21,50,54,32,43,24,56,37,42,30,52,0,42,0,0,20,38,0,0,76,36,0,30,8,44,59,93
2019-04-01,14,0,75,0,35,0,0,49,52,39,57,61,46,51,61,58,56,21,56,58,57,55,25,69,23,41,33,53,0,37,0,0,16,44,19,0,90,0,0,35,7,49,69,66
2019-05-01,14,0,76,0,41,0,0,71,46,47,63,70,49,48,69,75,60,23,49,53,65,59,26,57,36,43,24,67,0,35,0,0,22,42,0,0,81,0,0,38,11,59,75,53
2019-06-01,13,0,82,11,39,0,53,59,50,43,70,65,49,44,63,88,61,23,54,52,59,67,25,51,37,49,37,61,0,32,0,0,23,34,0,0,62,0,0,49,12,65,84,52
2019-07-01,14,0,75,0,32,0,0,49,47,46,68,66,48,39,42,65,60,22,53,54,48,56,22,55,59,42,41,54,35,36,0,0,27,32,23,0,63,26,0,31,10,81,97,44
2019-08-01,11,0,66,0,30,0,0,38,39,43,60,61,41,36,42,54,53,16,46,46,47,38,23,50,65,36,36,50,0,28,0,0,18,38,0,0,66,0,0,24,9,57,76,36
2019-09-01,13,0,72,0,40,82,0,49,47,49,64,65,41,42,37,62,57,20,52,53,59,63,23,55,65,42,26,62,0,34,0,0,23,41,0,0,86,0,0,24,10,52,60,45
2019-10-01,14,0,77,11,38,0,48,48,51,45,80,69,55,46,85,75,57,21,50,56,69,74,23,64,76,42,44,63,0,32,0,0,17,33,20,0,100,40,0,22,10,68,60,45
2019-11-01,14,0,94,12,39,0,0,46,49,100,70,63,45,49,60,88,60,23,55,54,36,65,24,60,64,42,32,64,0,37,0,0,0,35,19,0,85,0,0,23,11,71,63,53
2019-12-01,13,0,79,0,37,0,0,47,46,79,49,60,41,49,63,73,58,23,51,53,50,68,24,60,67,39,33,58,0,30,0,0,23,37,0,0,87,0,0,24,11,68,56,59
2020-01-01,16,0,71,11,36,0,0,45,50,64,61,65,50,39,76,86,59,22,54,52,44,69,23,51,66,42,38,63,30,40,0,0,26,36,18,0,54,0,0,25,13,89,65,68
2020-02-01,15,0,64,0,38,0,51,46,55,61,58,74,43,35,65,67,57,19,50,46,37,49,23,43,55,40,29,57,0,31,0,0,26,35,0,59,50,0,0,20,21,61,59,71
2020-03-01,14,0,61,0,36,0,67,45,64,57,72,93,27,31,32,55,61,17,52,31,44,63,20,25,58,37,25,66,29,20,0,0,14,46,0,0,22,0,0,29,100,45,70,76
2020-04-01,14,0,49,14,42,0,0,49,56,55,68,80,39,25,46,49,68,17,52,21,43,58,16,14,59,40,32,65,0,24,0,0,20,31,14,0,6,0,0,29,87,55,76,83
2020-05-01,16,0,62,10,41,0,0,55,52,62,73,69,51,27,40,63,72,18,51,21,28,42,20,16,62,40,33,64,0,22,0,0,13,29,16,0,6,0,0,26,42,88,72,66
2020-06-01,15,19,66,14,41,0,0,58,55,53,69,76,37,32,54,90,76,19,61,24,22,63,22,21,71,43,45,67,31,29,0,0,16,39,16,0,14,0,0,28,21,93,62,64
2020-07-01,19,0,58,8,35,0,0,86,52,61,72,69,44,28,50,88,67,18,54,26,36,42,23,21,60,38,31,60,0,22,0,0,15,35,0,0,12,0,0,49,24,75,62,55
2020-08-01,17,0,53,0,36,0,0,58,45,61,59,60,41,24,39,60,64,14,46,25,46,57,22,21,57,36,32,62,0,28,0,0,17,44,0,0,15,0,0,69,16,54,50,54
2020-09-01,14,0,59,0,42,0,0,52,51,55,66,54,45,25,53,71,67,16,50,26,42,55,25,23,44,39,28,59,41,27,0,0,30,37,0,0,16,0,0,65,12,44,48,55
2020-10-01,13,0,54,11,44,0,55,47,52,58,58,53,57,25,50,68,62,18,48,26,54,61,23,24,35,37,36,59,34,26,0,0,17,46,0,0,21,0,0,40,13,45,54,49
2020-11-01,13,0,55,0,44,0,0,49,49,60,54,74,38,28,46,66,55,19,47,27,43,41,21,23,46,33,34,62,0,19,0,0,17,33,0,0,19,0,0,29,16,46,53,45
2020-12-01,13,0,55,0,41,0,0,44,43,48,50,59,38,23,42,64,56,17,44,25,47,42,21,21,33,32,31,52,0,17,0,0,16,37,0,0,18,0,0,28,13,44,55,41
2021-01-01,15,0,53,0,39,0,0,46,46,52,63,55,36,24,42,65,55,16,42,22,44,52,19,18,46,32,33,53,0,29,0,0,21,41,18,0,16,0,0,30,16,53,62,51
2021-02-01,13,0,49,0,42,0,0,42,44,48,59,47,31,24,49,54,56,17,44,23,54,61,20,20,38,34,25,54,50,24,0,0,22,31,18,0,17,0,0,26,14,41,53,52
2021-03-01,13,0,51,0,47,0,0,47,48,49,43,49,25,25,53,58,55,16,44,32,75,46,21,22,51,40,24,60,0,34,0,0,16,42,16,0,17,0,0,26,9,34,47,53
2021-04-01,13,24,49,0,47,0,0,54,49,52,60,51,31,26,75,71,57,17,49,34,70,49,22,23,66,41,43,59,0,27,0,0,22,53,0,0,12,0,0,23,12,42,51,53
2021-05-01,14,0,45,0,55,0,0,51,47,54,54,51,44,25,60,69,55,17,41,34,47,41,22,22,54,41,45,60,36,19,0,0,26,33,22,0,14,0,0,23,23,55,53,63
2021-06-01,13,0,43,0,53,0,0,56,51,49,59,48,43,24,56,66,54,18,46,30,55,56,23,21,52,40,48,58,0,31,0,0,16,34,30,0,13,0,0,28,23,65,53,67
2021-07-01,13,26,48,0,46,63,66,45,47,62,46,54,35,23,38,64,51,18,42,32,32,48,23,21,55,37,45,52,0,21,0,0,15,35,20,0,22,0,0,26,15,63,52,51
2021-08-01,14,0,45,10,39,0,0,37,46,45,50,50,31,22,38,60,44,15,40,33,42,39,21,21,51,37,32,53,0,22,0,0,0,29,20,0,13,0,0,18,11,40,44,44
2021-09-01,13,0,48,0,35,0,48,44,49,44,59,42,32,22,58,53,48,15,39,27,40,49,22,20,36,36,35,58,0,32,0,0,0,45,0,0,12,0,0,22,12,41,55,51
2021-10-01,12,0,47,0,48,0,0,44,47,42,66,41,43,23,32,76,46,16,46,25,54,39,21,24,45,35,31,55,0,24,0,0,0,32,23,0,16,0,0,27,13,64,54,51
2021-11-01,13,0,50,12,60,0,0,43,47,52,56,46,41,27,43,63,47,17,45,28,42,43,22,23,28,33,26,52,0,27,0,0,0,41,27,0,15,0,0,28,13,62,60,48
2021-12-01,11,0,46,0,55,0,0,48,51,52,49,44,35,25,66,52,47,17,41,29,40,43,21,24,45,31,31,50,0,26,0,0,0,31,24,0,21,0,0,30,14,51,52,43
2022-01-01,16,0,58,12,61,0,0,89,58,69,62,45,41,31,75,65,65,24,45,38,52,59,24,28,42,48,87,70,0,32,0,0,26,55,27,0,15,0,0,33,21,74,64,49
2022-02-01,15,0,59,10,62,0,0,61,56,62,61,48,39,32,50,70,63,25,47,39,52,52,25,23,47,45,78,68,35,43,0,0,16,48,35,0,21,0,0,33,20,61,63,51
2022-03-01,14,0,58,8,56,0,49,49,61,58,68,47,36,31,63,81,65,21,50,41,57,70,24,26,39,41,69,71,0,46,0,0,28,51,42,0,18,0,0,42,15,40,58,49
2022-04-01,15,16,51,10,73,0,0,54,61,55,59,40,43,31,72,76,72,21,52,36,35,55,28,29,39,36,43,64,0,36,0,0,16,34,36,0,28,0,0,27,16,55,57,49
2022-05-01,15,0,45,0,70,0,39,51,61,54,76,40,57,32,57,79,69,23,46,34,51,48,24,29,43,35,41,56,0,35,0,0,15,36,37,0,28,0,0,31,24,53,58,47
2022-06-01,13,0,48,13,92,0,54,53,62,57,71,41,46,32,59,92,66,25,47,35,46,44,24,31,35,37,36,60,60,45,0,40,13,43,31,42,33,0,0,37,25,68,61,52
2022-07-01,14,25,46,0,73,0,45,44,62,56,67,45,35,26,66,79,63,20,40,35,49,47,23,29,38,36,43,57,41,28,0,55,14,37,32,0,30,0,0,28,17,67,58,45
2022-08-01,14,0,49,0,72,0,0,40,54,54,54,39,33,27,62,70,58,17,39,36,38,37,24,30,35,33,27,54,44,39,0,47,19,33,20,0,29,0,0,24,12,44,49,44
2022-09-01,13,0,46,0,72,0,72,44,57,47,57,43,30,26,75,70,60,18,43,37,37,40,24,31,44,36,35,59,0,34,0,63,0,35,26,0,34,22,0,33,15,45,54,46
2022-10-01,14,0,50,9,87,0,82,47,60,46,79,39,41,33,44,70,65,25,48,37,31,54,24,38,40,39,46,61,40,41,0,44,25,42,29,0,31,0,0,32,21,62,66,51
2022-11-01,14,0,53,12,70,0,66,52,58,88,80,40,41,35,66,76,63,31,44,42,52,52,28,41,44,35,38,61,35,39,0,44,13,47,22,0,44,31,0,31,19,60,67,49
