date,Age,Cosmetics,Inflation,Forex rate,confidence,health,weakness,trajectory,news,market,applicant,drive,wage,active,rental,rebate,goal,restaurant,takeaway,training,care,cost of living,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Air Conditioner Price,Bank loan rate,onsite,annuity,childcare,career opportunities,Economic development,Employment Rate,economic policies
2025-01-01,88,90,55,0,70,96,62,0,35,64,0,89,86,94,80,0,25,57,0,81,97,95,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-01,86,90,53,0,0,90,81,0,40,67,0,83,71,83,77,0,24,62,0,75,94,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-01,79,76,51,0,54,94,59,0,41,64,0,92,61,87,76,0,23,61,0,72,100,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-01,73,65,46,0,50,98,74,0,30,78,0,78,77,89,73,0,34,63,0,75,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0
2025-05-01,78,76,31,0,56,88,71,0,32,60,0,87,72,82,69,0,28,62,0,69,98,66,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2025-06-01,76,78,34,0,0,84,53,0,35,61,0,73,78,73,78,0,23,74,0,72,99,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01,86,79,41,0,0,79,52,0,31,59,0,66,83,81,100,0,18,81,0,66,82,72,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-01,94,75,42,0,57,81,63,0,31,65,0,64,92,88,88,0,23,81,0,75,88,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
2025-09-01,79,78,42,0,50,91,67,0,33,57,0,94,68,90,74,0,24,69,0,77,72,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10-01,72,87,52,0,63,100,77,0,42,73,0,87,45,83,58,0,32,82,0,71,88,48,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
