date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2014-08-01,81,22,50,75,23,44,36,69,48,22,36,47,77,67,50,57,78,42,77,77,78,33,47,67,41,96,44,69,68,27,43,0,63,50,44,63,0,51,48,16,0,53,51,41
2014-09-01,75,29,53,64,22,29,58,79,47,20,30,49,74,65,53,62,78,38,74,74,69,31,46,67,40,90,45,68,67,27,29,25,63,48,51,63,0,47,33,16,34,51,49,40
2014-10-01,84,67,57,60,25,35,57,77,48,20,32,47,88,75,61,65,80,42,77,76,67,31,40,68,41,87,46,70,65,25,51,23,61,48,52,45,0,50,53,18,24,60,51,40
2014-11-01,87,72,60,53,20,26,58,61,44,20,31,47,80,72,58,59,80,44,74,76,69,32,33,74,42,85,45,64,61,26,33,21,58,45,52,45,0,53,51,15,0,50,46,40
2014-12-01,90,53,60,30,13,34,50,50,35,18,18,63,45,74,48,51,75,32,67,74,40,25,29,78,44,70,33,58,53,20,0,18,50,38,49,46,0,49,58,15,40,30,30,29
2015-01-01,86,85,50,32,17,35,53,51,41,17,20,50,50,69,73,57,82,43,69,88,35,33,39,75,48,87,46,66,71,27,0,33,62,53,55,0,0,56,49,17,0,33,33,38
2015-02-01,77,30,48,55,21,67,71,66,48,19,24,49,68,66,58,62,81,47,69,80,50,32,27,74,42,96,54,70,73,25,34,53,67,73,52,43,0,52,36,33,0,45,46,43
2015-03-01,79,29,50,70,23,36,50,65,54,20,34,48,76,69,61,55,79,44,74,72,75,32,36,65,40,92,48,71,61,27,41,28,61,59,54,54,0,52,49,30,0,62,58,43
2015-04-01,100,22,48,60,24,42,54,72,46,20,34,48,83,74,53,61,78,44,73,71,81,31,42,69,42,83,45,68,43,26,43,41,56,54,52,59,0,48,51,29,0,59,52,39
2015-05-01,90,20,46,77,29,66,64,89,48,21,34,49,96,69,54,64,79,49,72,68,72,36,45,71,44,91,54,73,66,26,46,30,64,74,58,63,0,44,42,40,45,70,62,39
2015-06-01,79,28,52,60,23,43,49,70,49,21,31,46,76,67,53,52,85,55,72,76,68,43,40,70,45,89,49,73,60,26,44,43,55,56,50,45,0,45,45,22,34,49,51,40
2015-07-01,78,34,53,50,19,36,67,56,46,18,28,51,62,73,54,54,84,52,67,74,60,42,39,79,49,90,49,75,61,25,25,41,57,51,53,31,0,46,37,18,61,41,47,41
2015-08-01,76,31,59,77,24,44,65,71,49,21,30,48,86,75,54,56,85,49,67,74,85,31,43,75,47,88,49,74,65,29,57,38,54,54,65,66,0,45,41,20,41,61,62,37
2015-09-01,81,25,56,75,24,40,72,79,46,21,35,48,71,78,55,57,85,43,75,72,79,30,42,73,47,87,45,75,57,26,56,41,60,52,64,57,0,47,60,18,36,60,57,37
2015-10-01,77,57,54,66,25,46,63,80,47,21,32,46,79,78,55,59,86,47,73,73,64,30,38,70,47,81,48,70,55,25,46,37,61,57,55,45,0,43,37,19,23,62,57,37
2015-11-01,74,56,63,69,21,43,60,66,46,20,26,50,84,79,61,70,83,44,74,79,60,30,29,72,47,83,47,71,52,22,40,49,55,53,46,28,0,47,39,29,19,49,48,37
2015-12-01,78,78,62,42,14,37,84,47,36,18,21,48,43,78,54,51,82,37,67,77,31,25,25,84,52,70,37,62,53,20,0,29,45,42,47,28,0,54,53,15,0,27,25,29
2016-01-01,76,63,55,42,14,34,66,48,39,18,21,45,43,74,68,67,79,46,80,90,38,31,29,81,56,82,49,69,61,26,0,28,49,49,58,27,0,48,53,13,30,35,40,34
2016-02-01,75,57,53,58,17,38,66,63,49,20,35,45,67,73,65,70,87,52,81,85,50,32,31,78,49,90,58,77,74,23,22,49,61,56,59,0,0,51,51,16,0,53,56,39
2016-03-01,74,28,63,67,22,37,83,66,52,23,60,43,77,77,60,61,80,48,80,77,78,31,38,75,56,82,53,74,69,24,46,51,50,46,52,48,0,50,56,19,19,56,57,37
2016-04-01,77,30,82,61,24,40,70,79,50,24,41,46,86,76,57,63,87,45,81,75,86,31,41,81,54,82,52,73,61,26,66,48,45,49,57,100,0,52,51,20,40,65,56,35
2016-05-01,76,25,83,93,32,64,64,92,52,23,41,44,92,71,52,60,85,54,80,71,75,31,45,79,49,85,54,77,60,26,68,40,51,70,54,54,0,44,43,33,32,81,65,39
2016-06-01,76,26,95,64,23,39,83,76,49,23,31,45,66,68,49,56,88,52,74,72,79,34,47,75,52,81,54,77,63,25,54,28,48,54,50,47,0,44,37,17,23,58,56,37
2016-07-01,78,28,93,44,19,35,53,54,46,44,28,52,59,68,51,55,85,49,70,75,58,37,38,79,55,76,49,74,52,24,35,37,50,50,48,26,0,49,62,18,28,43,39,32
2016-08-01,66,24,100,79,26,50,64,67,49,39,34,48,78,66,56,62,81,45,72,76,100,32,39,73,52,84,52,77,60,25,61,34,46,63,49,52,0,47,50,28,20,64,57,36
2016-09-01,73,28,84,69,25,40,53,79,48,32,31,45,75,69,58,59,87,45,77,78,69,28,37,80,53,81,50,74,49,23,56,32,44,53,54,46,0,46,51,22,0,59,52,36
2016-10-01,70,36,80,63,29,40,52,86,46,26,35,47,80,74,62,71,87,47,72,73,66,31,40,71,54,75,47,73,52,23,34,39,43,52,51,51,0,43,42,19,21,69,58,36
