date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2013-06-01,38,0,38,48,14,0,0,51,56,27,24,31,33,32,0,0,60,23,57,78,56,13,54,65,28,69,59,67,36,10,0,100,58,31,0,0,0,72,87,51,0,31,37,30
2013-07-01,36,0,37,0,10,0,0,47,54,29,0,37,34,34,0,28,61,21,53,74,61,14,37,61,27,76,51,64,43,11,0,0,67,27,53,0,0,76,76,54,0,22,33,29
2013-08-01,38,0,38,0,14,0,0,54,52,25,0,36,0,33,44,45,63,20,54,70,72,13,44,69,32,74,57,65,0,15,0,0,54,35,54,0,0,67,89,43,0,22,34,30
2013-09-01,37,0,40,0,20,0,0,55,61,21,0,30,47,35,0,31,64,24,73,61,54,19,53,61,28,79,64,68,79,12,0,0,53,31,64,0,0,64,59,51,0,36,43,33
2013-10-01,40,0,39,0,19,0,0,61,66,35,27,28,62,45,0,51,76,23,68,57,66,19,88,69,30,79,66,72,87,11,0,71,55,39,49,0,0,46,59,58,75,55,57,39
2013-11-01,41,0,54,56,27,0,0,71,69,31,37,26,100,57,0,29,78,22,64,50,76,22,60,68,31,79,63,73,75,11,0,0,58,50,43,0,0,53,61,61,0,69,67,38
2013-12-01,38,0,52,0,20,0,0,57,54,30,26,30,68,52,52,28,73,18,57,42,59,21,56,69,38,55,39,65,58,8,0,0,33,38,33,0,0,35,43,43,0,52,50,25
2014-01-01,41,0,47,55,26,0,0,64,76,27,22,32,69,34,59,46,75,23,66,66,46,22,45,63,31,85,70,69,68,14,0,0,73,37,58,0,0,56,52,61,0,63,53,36
2014-02-01,38,0,41,0,24,0,0,53,62,28,0,28,55,35,28,0,69,21,64,56,70,29,45,65,30,79,63,72,65,12,0,0,66,48,46,0,0,47,44,50,0,63,53,42
2014-03-01,39,0,43,0,28,0,0,66,63,26,24,33,79,39,37,37,73,23,66,59,100,21,58,61,34,72,70,72,87,14,0,0,58,45,44,0,0,52,69,45,0,75,62,39
2014-04-01,38,0,37,36,25,0,0,60,57,33,17,30,59,35,50,18,68,24,66,65,42,13,66,56,26,69,61,73,70,12,0,0,59,51,51,0,0,44,83,49,0,71,57,38
2014-05-01,40,0,36,0,23,0,0,63,53,30,0,32,65,36,0,38,65,24,59,67,70,17,55,53,27,66,55,68,31,12,0,0,65,32,35,0,0,46,0,43,0,52,53,38
2014-06-01,39,0,35,0,16,0,0,43,52,26,0,30,53,32,0,28,62,22,55,67,44,14,97,54,24,67,50,61,33,12,0,0,59,34,40,0,0,51,54,51,0,30,35,38
2014-07-01,39,0,34,0,14,0,0,47,54,30,0,38,39,33,41,18,62,23,53,69,37,15,73,57,27,68,46,60,37,12,0,0,75,33,19,0,0,54,52,47,0,38,31,37
2014-08-01,38,0,36,0,17,0,0,49,50,24,0,38,29,33,44,27,62,21,55,73,46,19,59,61,33,65,51,61,35,12,0,0,65,42,53,0,0,61,53,40,0,35,36,35
2014-09-01,39,0,40,0,19,0,0,51,56,25,0,29,57,36,35,28,70,26,65,54,49,21,59,56,29,74,64,68,39,12,0,0,60,45,43,0,0,62,56,48,0,38,51,39
2014-10-01,41,0,41,44,18,0,0,60,61,28,34,29,93,43,39,30,74,26,65,51,67,22,70,57,29,65,58,67,46,9,0,0,62,37,55,0,0,38,62,57,0,67,61,41
2014-11-01,42,0,54,48,28,0,0,60,61,29,22,27,75,60,40,23,72,26,62,44,57,21,71,57,30,64,58,67,83,10,0,0,53,36,46,0,0,49,0,48,0,73,65,40
2014-12-01,47,0,58,62,23,0,100,65,51,27,0,29,66,47,0,17,68,18,58,40,38,17,88,60,35,50,38,63,59,7,0,0,55,26,47,0,0,44,45,41,0,58,60,36
2015-01-01,46,0,44,43,24,0,0,61,64,30,25,34,52,32,24,40,68,26,68,53,61,22,95,57,31,75,62,68,94,14,0,0,78,53,41,0,0,56,60,60,0,59,54,41
2015-02-01,45,0,45,44,26,68,0,60,64,29,26,29,79,37,40,26,70,26,66,56,54,22,53,65,29,75,65,70,50,12,0,0,69,51,0,0,0,45,44,64,0,68,61,45
2015-03-01,43,0,43,56,34,0,0,64,69,32,31,31,97,40,45,37,69,27,67,65,61,19,61,61,30,76,66,73,35,12,0,0,82,44,59,0,0,55,39,51,0,93,69,43
2015-04-01,54,0,42,49,28,0,0,71,72,33,26,32,67,42,38,36,78,30,69,63,83,21,63,59,28,72,62,76,73,12,0,0,81,34,33,0,0,34,70,54,0,82,65,45
2015-05-01,56,0,39,53,27,0,0,61,62,32,35,33,61,40,54,26,70,29,68,65,75,20,54,64,33,71,58,73,39,11,0,0,66,47,33,0,0,49,42,56,0,54,54,36
2015-06-01,49,0,43,46,22,0,0,55,63,31,19,37,53,37,61,39,75,31,68,76,61,23,43,66,32,74,56,89,38,16,0,0,81,37,32,0,0,71,70,58,0,44,44,34
2015-07-01,50,0,47,0,16,0,0,53,56,31,23,43,0,41,63,45,75,38,67,84,60,26,42,72,39,76,58,77,42,18,0,0,93,46,46,0,0,57,60,54,0,36,39,29
2015-08-01,53,0,51,0,15,78,0,54,55,29,22,39,0,43,55,35,77,26,62,75,44,18,50,74,41,78,57,72,46,14,0,0,71,47,55,0,0,56,83,46,0,38,42,27
2015-09-01,46,0,47,64,22,0,0,54,63,30,27,32,49,41,46,34,82,34,81,62,60,25,65,68,37,83,70,83,32,12,0,0,100,43,39,0,0,50,0,54,0,53,51,35
2015-10-01,50,0,49,65,27,0,0,71,66,36,23,33,46,48,61,21,85,47,81,60,63,31,58,72,43,76,84,86,64,13,0,0,83,43,45,0,0,51,0,64,0,67,63,39
2015-11-01,48,0,64,62,30,0,0,75,67,31,42,40,68,66,39,31,83,36,81,52,57,22,54,69,39,77,66,85,68,13,0,0,85,47,53,0,0,45,47,63,0,74,65,36
2015-12-01,52,0,64,40,25,0,0,63,56,30,47,37,58,59,40,20,75,33,66,46,48,23,52,74,48,62,45,76,64,10,0,0,74,39,56,0,0,39,42,53,0,66,52,27
2016-01-01,55,0,51,70,26,0,0,62,72,30,31,36,58,39,32,41,73,52,77,70,50,29,46,75,45,91,72,89,96,15,0,0,99,57,52,0,0,37,0,61,0,73,65,36
