date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2014-08-01,38,0,50,0,19,0,0,46,12,32,50,66,32,84,0,0,77,27,63,8,0,0,52,20,0,17,0,17,0,24,0,0,0,0,0,0,52,0
2014-09-01,32,0,45,0,28,0,0,52,14,36,36,52,37,88,28,22,79,28,64,7,0,0,53,19,0,16,0,17,0,15,0,0,0,0,0,0,40,0
2014-10-01,40,0,45,0,25,0,0,44,14,36,37,44,44,86,0,16,76,23,67,5,0,0,58,19,0,14,0,17,0,14,0,0,0,8,67,0,29,0
2014-11-01,87,0,45,0,28,0,0,53,13,19,45,41,35,92,0,17,74,22,58,5,0,12,52,17,0,16,0,17,0,0,0,0,0,0,64,0,0,0
2014-12-01,100,0,44,0,32,0,0,40,13,29,73,44,43,100,0,0,64,24,60,4,11,0,46,16,0,14,0,16,0,14,0,0,0,0,35,0,20,0
2015-01-01,81,0,43,0,27,0,0,33,12,27,34,45,29,90,0,0,64,28,51,4,0,10,48,15,0,16,0,16,0,13,0,0,0,0,34,0,34,0
2015-02-01,48,0,41,0,23,0,0,40,13,28,44,49,39,84,0,0,63,25,57,5,0,14,52,17,0,16,0,17,0,16,0,0,0,0,37,38,24,0
2015-03-01,41,0,42,0,24,0,0,38,14,25,33,43,38,80,0,13,64,23,58,6,0,10,47,17,0,18,0,18,0,16,0,0,27,0,0,0,24,0
2015-04-01,37,0,38,0,29,0,0,41,14,21,57,41,35,74,0,16,62,32,57,6,0,19,53,18,6,17,0,18,0,23,0,0,0,0,32,0,0,0
2015-05-01,36,0,38,0,24,0,0,36,13,22,47,42,46,72,0,17,60,24,54,6,0,26,56,20,0,18,0,19,0,18,0,0,0,0,0,0,34,0
2015-06-01,31,0,42,66,26,0,0,35,14,21,37,45,33,76,19,17,65,29,56,7,0,27,45,23,0,18,0,17,0,18,0,0,0,0,0,0,0,0
2015-07-01,31,0,44,0,22,0,0,38,12,27,0,38,32,76,0,0,63,26,56,7,0,22,45,19,0,17,0,17,0,15,0,0,0,0,0,0,48,0
2015-08-01,33,0,46,0,21,0,0,39,12,26,36,38,20,77,0,20,65,23,61,6,0,17,50,20,0,17,0,16,0,16,0,0,0,0,0,0,32,0
2015-09-01,29,0,42,0,25,0,0,40,13,20,38,40,43,78,0,24,69,22,58,4,0,0,52,19,9,17,0,16,0,10,0,0,0,0,0,0,22,0
2015-10-01,34,0,45,0,21,0,0,39,12,14,38,40,56,73,0,16,75,24,55,5,0,0,49,20,6,16,0,17,0,10,0,0,0,0,49,0,19,0
2015-11-01,26,0,49,0,23,0,0,50,12,14,55,44,31,74,0,16,73,31,54,4,0,11,46,17,0,15,0,16,0,10,0,0,21,0,0,0,19,0
2015-12-01,25,0,43,0,27,0,0,40,13,24,41,37,27,79,0,12,73,26,50,3,0,10,45,17,7,15,0,19,0,12,0,0,0,0,0,29,0,0
2016-01-01,32,0,47,0,24,0,0,40,19,29,53,37,38,64,15,11,60,35,45,5,9,11,47,17,6,20,0,20,0,16,0,0,0,7,0,0,21,0
2016-02-01,30,0,52,0,19,0,0,51,19,34,56,34,55,59,0,32,61,34,51,4,10,12,43,18,9,19,0,22,0,15,0,0,0,0,0,0,0,0
2016-03-01,27,0,62,0,23,0,0,51,17,36,55,35,51,60,0,11,61,33,52,5,10,0,50,18,0,18,0,22,0,20,0,0,0,0,0,0,0,0
2016-04-01,25,0,60,0,25,0,0,52,21,34,56,40,50,52,0,37,64,34,49,6,14,19,57,27,9,24,0,22,17,8,0,0,0,0,0,0,27,0
2016-05-01,26,0,58,0,26,0,0,57,28,28,65,41,67,54,0,31,68,45,50,12,13,24,55,46,6,34,7,25,0,17,0,37,34,0,36,0,44,0
2016-06-01,27,0,49,0,25,0,0,49,17,28,44,35,36,53,0,16,62,33,49,7,11,10,59,23,8,18,0,21,0,16,0,0,0,0,0,0,22,0
2016-07-01,28,0,54,0,24,0,0,38,17,39,0,36,34,60,0,27,62,33,46,6,100,0,51,22,0,18,0,21,0,17,0,0,0,0,38,0,32,0
2016-08-01,26,0,64,0,22,0,0,35,16,22,30,35,0,56,0,21,63,29,48,6,72,10,42,22,0,16,0,21,0,14,0,0,0,0,0,0,22,0
2016-09-01,23,0,57,0,22,0,0,44,17,28,46,33,47,51,18,13,65,31,50,5,11,0,50,20,10,17,0,19,0,10,0,0,0,0,0,0,25,0
2016-10-01,22,0,54,0,24,0,0,42,16,28,38,32,47,51,0,26,61,31,48,4,0,8,43,19,0,18,0,19,0,14,0,0,0,0,32,0,0,0
2016-11-01,22,0,62,0,26,0,0,48,16,26,61,32,51,52,19,18,56,39,47,4,0,10,44,18,6,16,0,20,0,15,0,0,0,0,32,0,20,0
2016-12-01,22,0,68,0,28,0,0,43,16,31,44,31,49,52,0,18,55,31,46,4,0,0,47,18,6,15,0,20,0,15,0,0,0,6,28,0,19,0
2017-01-01,25,0,68,0,21,0,0,35,15,30,27,28,24,49,0,11,58,28,46,4,0,0,50,16,7,16,0,21,0,15,0,0,0,0,0,0,0,0
2017-02-01,24,0,66,0,26,0,0,45,16,24,38,29,47,47,0,18,56,28,48,5,0,13,45,20,7,17,0,21,0,18,0,0,0,0,47,0,27,0
2017-03-01,23,0,69,0,26,0,0,49,17,28,42,30,55,45,21,15,55,35,54,6,0,7,45,21,7,18,0,22,11,20,0,0,0,6,0,29,17,0
2017-04-01,22,0,63,0,22,0,0,46,17,33,44,33,49,43,0,19,58,37,53,5,9,8,55,22,8,17,0,22,0,15,0,0,0,0,0,0,22,0
2017-05-01,19,0,63,0,25,0,0,47,17,33,49,29,59,44,0,14,56,28,50,6,0,13,44,23,0,17,0,23,0,17,0,0,0,0,32,36,30,0
2017-06-01,20,0,69,0,24,0,0,39,16,30,0,31,51,45,0,0,53,28,47,7,9,16,42,24,0,16,0,19,0,16,0,0,0,7,40,43,42,0
2017-07-01,21,0,61,0,22,0,0,38,15,34,29,30,34,51,0,17,56,35,48,8,0,9,38,26,0,17,0,21,0,16,0,0,0,0,0,0,27,0
2017-08-01,22,0,61,0,18,0,0,41,15,27,0,30,28,46,0,18,53,34,47,7,0,0,39,25,0,16,0,19,0,12,0,0,0,6,0,0,23,0
2017-09-01,17,0,55,0,18,0,0,44,15,34,48,33,37,46,0,13,53,38,48,6,0,0,39,24,10,16,0,19,0,15,0,0,0,0,0,0,29,0
2017-10-01,18,0,69,0,21,0,0,47,15,26,31,28,42,47,15,17,64,29,51,5,11,8,44,22,6,15,0,18,0,22,0,0,0,5,0,0,23,0
2017-11-01,18,0,74,0,25,0,0,48,16,26,0,27,37,47,0,20,54,37,52,4,9,15,40,22,0,14,0,19,0,15,0,0,0,0,44,30,0,0
2017-12-01,20,0,59,0,22,0,0,46,15,31,45,27,33,47,0,0,55,41,47,4,0,0,39,22,5,14,4,19,0,13,0,0,0,8,0,0,0,0
2018-01-01,22,0,63,0,24,0,0,53,16,37,46,26,39,46,0,15,54,32,46,4,0,7,45,19,6,15,6,19,0,18,0,0,0,0,35,0,23,0
2018-02-01,21,0,67,0,24,0,0,59,16,33,0,25,39,43,0,17,52,25,56,4,0,0,46,20,0,15,0,19,0,14,0,38,0,0,36,0,22,0
2018-03-01,19,0,75,0,25,0,0,51,17,34,0,29,39,45,0,12,55,37,51,4,0,8,50,22,6,15,0,20,17,16,0,0,0,0,0,27,0,0
2018-04-01,17,0,64,0,21,0,0,54,16,35,53,30,31,46,0,18,53,30,51,5,0,0,51,22,7,15,0,22,0,14,0,0,0,0,37,0,20,0
2018-05-01,16,0,57,0,24,0,0,56,17,27,50,27,54,42,0,15,52,30,47,5,11,0,44,25,8,15,0,21,0,18,0,0,0,0,31,0,24,0
2018-06-01,18,0,57,0,28,0,0,44,18,34,27,29,28,40,0,17,53,47,46,11,9,19,100,47,8,20,7,22,32,28,0,0,0,10,0,0,78,0
2018-07-01,20,0,68,0,27,0,0,44,20,35,33,32,0,44,0,18,53,43,47,11,16,10,76,46,13,20,4,24,0,24,0,0,0,6,0,0,43,0
2018-08-01,20,0,69,0,29,0,0,55,30,42,0,30,31,47,20,18,56,39,49,20,28,20,48,48,19,31,11,32,20,28,0,0,23,22,0,0,41,0
2018-09-01,19,0,60,0,27,0,0,65,31,49,71,34,55,45,28,28,56,53,50,22,28,35,57,51,30,36,20,35,20,30,0,0,43,28,39,0,35,0
2018-10-01,18,63,69,0,28,0,0,71,33,44,43,37,50,45,29,16,56,49,52,23,23,23,58,52,30,34,18,38,16,28,0,0,61,26,38,0,36,56
2018-11-01,19,0,74,0,24,0,0,75,30,40,33,31,56,41,28,34,54,57,52,24,26,21,52,43,27,33,12,37,19,30,0,0,39,26,44,29,32,0
2018-12-01,22,0,70,0,27,0,0,73,32,38,56,32,36,45,30,24,55,55,48,28,29,22,53,45,27,32,15,39,12,34,0,0,55,32,0,0,25,0
2019-01-01,22,0,74,0,27,0,0,61,29,42,29,30,38,39,35,18,51,52,48,27,32,31,52,38,24,32,15,37,19,27,0,0,36,31,0,0,42,53
2019-02-01,20,0,73,0,26,0,0,62,31,42,47,32,45,40,28,13,52,48,56,22,24,23,53,40,20,30,15,33,20,27,0,0,47,23,0,0,29,0
2019-03-01,21,0,79,47,27,0,0,70,33,52,59,34,46,41,28,17,55,61,56,24,21,27,61,50,36,34,17,38,17,35,0,0,55,23,0,0,53,0
2019-04-01,20,0,70,0,32,0,0,69,38,51,62,40,68,41,28,30,59,62,66,32,33,27,66,62,61,38,22,41,19,36,0,0,66,31,0,29,51,0
2019-05-01,21,0,73,0,29,0,0,63,34,54,52,39,64,40,34,28,56,65,56,27,30,24,63,56,35,36,20,44,28,32,0,0,58,23,39,0,50,0
2019-06-01,22,0,75,0,32,0,0,71,38,64,46,43,51,45,36,31,63,68,59,32,31,34,64,73,53,45,23,45,26,29,0,0,80,26,76,0,51,0
2019-07-01,23,0,79,0,28,0,0,64,36,69,0,44,52,45,43,25,59,69,64,30,24,36,61,66,69,37,19,46,40,45,0,0,51,29,33,0,51,0
2019-08-01,23,0,73,0,35,0,0,56,31,61,30,40,21,46,27,24,56,53,71,24,25,26,54,50,58,32,13,38,25,34,0,0,26,21,47,30,29,0
2019-09-01,20,0,63,0,28,0,0,74,33,50,50,47,41,44,32,35,58,59,65,21,49,17,57,42,29,26,10,33,42,26,0,0,38,21,33,0,40,0
2019-10-01,18,0,86,0,28,0,0,71,27,43,51,35,58,43,31,27,55,49,63,17,25,20,63,38,28,25,11,32,14,26,0,0,37,17,0,0,42,0
2019-11-01,19,0,92,0,29,0,0,65,29,60,59,35,68,43,19,22,55,56,62,18,24,23,55,41,32,25,11,36,100,22,34,0,43,20,31,29,38,0
2019-12-01,19,0,80,0,32,0,0,73,31,57,26,44,57,47,28,34,55,50,67,22,28,21,61,42,33,27,15,36,63,38,0,40,43,27,30,0,40,0
2020-01-01,21,0,70,0,32,0,0,63,31,53,52,50,34,43,22,25,53,57,64,20,21,38,59,43,30,29,15,39,25,36,0,0,45,27,36,0,46,0
2020-02-01,20,0,70,0,32,0,0,62,39,66,56,52,49,43,35,28,56,58,63,22,23,25,58,47,28,34,23,42,30,30,0,35,56,30,40,0,45,0
2020-03-01,21,0,67,0,32,0,0,62,50,61,58,67,44,45,45,33,54,56,61,25,24,41,54,36,32,37,20,55,29,25,0,65,28,36,31,0,31,0
2020-04-01,22,0,62,0,31,0,0,67,46,66,53,55,63,39,36,24,67,52,54,24,27,31,44,26,31,39,20,50,35,36,0,35,29,36,30,0,26,0
2020-05-01,23,0,76,0,34,0,0,71,31,57,52,47,73,43,27,27,69,47,59,15,19,16,45,25,24,30,12,35,46,25,0,0,34,25,32,0,24,0
2020-06-01,21,0,76,0,34,0,0,78,30,72,48,46,57,42,17,14,60,51,61,14,22,26,48,28,23,29,11,36,45,23,0,0,27,21,32,0,23,0
2020-07-01,21,0,61,0,37,0,0,64,28,69,37,43,28,43,0,21,60,36,62,9,10,9,44,26,27,24,8,25,45,19,0,0,0,23,30,0,0,0
2020-08-01,19,0,70,0,32,0,0,57,27,56,56,43,18,44,24,30,58,34,64,11,0,15,41,26,16,23,11,26,70,28,0,0,40,25,0,0,24,0
2020-09-01,19,0,58,0,30,0,0,66,29,50,75,43,39,39,0,32,54,50,61,14,22,17,51,25,22,26,9,30,41,29,0,38,0,29,0,0,0,0
