date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2014-08-01,34,15,37,49,50,35,59,35,66,40,40,52,45,53,90,39,98,34,53,57,26,27,38,37,36,76,56,62,61,84,34,34,82,42,46,12,16,57,5,15,0,53,51,75
2014-09-01,32,13,40,54,50,40,63,32,69,37,56,58,43,57,90,42,100,57,56,61,28,25,31,35,39,74,55,60,61,88,41,34,88,43,54,11,8,58,5,15,0,56,48,78
2014-10-01,36,19,44,50,43,35,49,29,63,35,37,58,36,54,91,37,97,37,49,55,25,18,33,36,39,68,45,64,55,83,37,27,82,36,51,10,0,65,5,13,10,48,41,67
2014-11-01,39,10,43,53,50,38,54,31,73,36,44,51,38,57,100,41,99,37,56,58,35,27,36,37,38,75,50,62,61,86,40,34,90,40,54,13,8,56,5,15,0,51,50,75
2014-12-01,35,9,43,45,47,35,53,28,65,30,38,54,33,53,87,40,93,35,53,61,31,30,34,38,38,69,43,63,61,85,41,29,82,40,52,14,0,62,5,15,18,44,44,72
2015-01-01,36,13,45,37,47,39,60,28,68,35,44,53,34,54,87,42,99,72,53,58,27,42,30,37,41,70,47,63,63,87,30,30,87,46,55,17,0,64,4,15,12,49,47,67
2015-02-01,34,25,43,40,51,41,58,33,75,37,43,59,37,53,88,43,97,90,58,57,30,54,29,37,34,71,50,62,63,87,34,33,89,46,55,16,11,62,5,15,0,51,48,70
2015-03-01,36,53,37,48,44,40,50,29,65,36,41,50,35,52,89,50,90,51,81,58,35,44,29,36,37,73,58,59,62,91,32,29,86,50,49,16,0,56,5,15,10,45,43,64
2015-04-01,52,66,38,49,40,50,59,30,70,38,43,52,40,52,90,56,90,46,70,62,35,26,32,41,38,78,49,67,64,89,36,31,90,56,49,8,9,63,6,13,11,47,42,66
2015-05-01,54,67,41,44,39,42,63,27,64,33,33,51,33,50,86,54,89,100,60,64,29,23,31,41,37,74,43,66,66,83,28,34,79,43,43,8,8,63,7,12,9,40,42,66
2015-06-01,47,25,37,42,40,49,63,31,70,32,37,52,31,49,89,53,90,40,63,60,29,26,34,38,35,83,45,64,78,88,32,36,90,50,44,9,11,62,7,14,22,39,44,72
2015-07-01,44,12,33,40,34,38,61,27,62,32,37,55,33,47,83,38,83,26,55,53,23,30,34,33,34,69,42,57,62,74,31,33,81,40,45,9,0,51,6,14,47,37,50,77
2015-08-01,43,9,32,42,48,37,61,28,62,34,36,54,39,53,80,37,91,24,57,54,33,41,39,36,32,66,45,63,53,79,39,31,77,43,54,12,6,53,5,16,51,45,63,74
2015-09-01,43,14,37,46,44,48,60,29,65,36,39,55,41,53,87,38,91,25,61,59,32,24,35,37,37,66,51,61,48,84,49,33,81,61,51,14,49,52,7,17,55,51,70,79
2015-10-01,42,17,40,39,37,51,56,29,64,34,34,53,37,52,80,34,90,26,59,57,29,18,34,38,35,61,47,66,51,78,42,31,66,55,49,11,20,63,6,15,57,43,59,66
2015-11-01,44,9,37,39,40,40,54,28,64,31,37,60,39,50,86,32,83,28,58,57,32,20,33,40,39,63,52,67,53,84,47,28,71,43,52,14,12,72,6,15,37,44,52,64
2015-12-01,45,7,42,37,41,48,61,29,66,34,36,59,37,51,85,38,92,27,56,68,38,30,32,44,40,66,45,74,58,80,37,36,81,48,52,18,0,74,8,15,25,48,48,68
2016-01-01,45,8,38,36,37,33,51,29,63,35,42,50,39,53,76,42,80,30,54,56,31,36,31,37,39,63,50,60,53,67,41,28,78,40,53,21,0,57,5,14,9,47,50,59
2016-02-01,43,24,37,36,41,36,47,30,70,36,53,56,39,55,77,45,77,22,57,58,37,54,30,37,35,69,49,62,53,74,41,26,70,42,48,20,8,53,6,14,14,49,51,62
2016-03-01,48,48,37,38,36,33,51,28,68,40,60,51,39,50,74,44,79,22,56,62,61,41,28,37,35,67,48,65,56,72,30,29,67,39,51,19,7,56,7,14,8,43,46,52
2016-04-01,48,72,37,48,36,42,48,29,67,36,44,53,42,50,79,46,74,25,54,67,35,27,32,41,32,69,40,65,58,77,25,29,71,45,48,12,11,64,8,13,9,42,44,50
2016-05-01,48,38,35,34,35,35,51,27,63,33,38,58,40,49,72,67,72,20,51,60,34,24,27,41,37,75,43,63,64,71,36,29,68,40,41,10,10,58,9,13,8,41,44,54
2016-06-01,49,22,35,37,39,37,53,28,70,35,37,58,37,51,79,56,73,21,57,60,28,31,39,42,32,78,46,63,61,77,38,34,74,41,44,14,13,55,9,15,13,42,48,60
2016-07-01,60,13,36,38,37,36,48,29,67,42,42,60,37,47,77,45,78,20,53,58,32,43,39,44,39,72,44,68,55,74,30,29,78,44,50,9,7,55,8,14,8,39,46,65
2016-08-01,50,10,38,45,38,36,49,28,66,40,40,57,39,51,69,40,71,25,54,58,31,26,30,41,37,69,46,65,48,67,35,34,68,39,44,10,0,63,7,14,8,43,48,62
2016-09-01,50,8,36,36,36,36,43,27,72,40,37,63,41,53,68,35,73,24,56,60,31,20,28,40,39,64,51,68,43,65,30,28,60,38,46,11,0,58,7,15,9,43,51,58
2016-10-01,49,8,32,31,29,34,36,24,75,36,33,57,34,48,67,32,74,21,50,51,26,17,27,39,37,55,35,70,36,53,26,24,51,38,40,10,6,71,7,12,0,39,43,46
2016-11-01,53,5,35,41,50,36,51,27,63,29,38,70,40,53,62,34,64,22,52,56,33,24,31,40,38,60,47,67,38,62,43,24,55,42,40,15,6,74,8,62,0,25,46,7
2016-12-01,54,5,33,33,41,35,48,24,82,29,35,67,37,48,57,33,64,22,51,57,29,31,29,44,39,55,44,75,36,54,29,23,53,40,36,16,12,94,10,72,6,21,42,4
2017-01-01,54,8,35,38,31,68,39,23,59,32,37,55,33,44,61,40,63,19,48,56,28,35,25,41,36,57,49,71,39,57,32,23,57,84,40,20,5,82,10,67,0,19,45,0
2017-02-01,53,19,36,32,36,51,38,31,62,34,39,61,37,46,57,37,66,22,50,59,31,67,26,42,39,59,56,66,43,60,43,25,57,64,40,20,6,69,10,79,0,22,51,0
2017-03-01,54,35,33,36,37,48,42,25,63,37,43,60,39,52,56,40,66,24,51,59,37,41,25,42,40,62,54,71,40,61,30,29,59,56,40,16,6,62,12,75,0,20,47,0
2017-04-01,56,49,31,32,33,45,45,23,59,34,37,56,36,52,48,37,60,24,48,60,32,29,28,44,43,62,43,76,43,57,33,26,54,49,35,15,12,67,13,64,0,16,44,0
2017-05-01,56,31,32,36,34,41,50,22,59,33,36,50,34,52,52,40,63,23,46,60,32,24,25,46,41,65,46,70,51,63,25,26,58,49,33,11,22,72,16,67,0,16,40,0
2017-06-01,57,25,34,28,32,37,34,23,57,30,34,53,30,51,55,40,58,18,44,59,30,29,24,49,44,63,42,72,51,59,31,26,61,47,33,11,7,81,16,59,0,21,40,0
2017-07-01,56,11,35,36,33,40,46,26,59,36,37,53,34,55,51,41,62,22,47,59,28,55,22,49,54,64,52,76,41,60,31,27,58,50,37,11,6,64,14,71,0,19,46,0
2017-08-01,55,8,34,33,30,44,47,24,61,35,38,65,35,56,50,36,64,25,51,62,27,27,24,52,49,58,47,76,34,59,31,26,54,52,37,9,5,70,13,75,0,21,50,0
2017-09-01,58,11,38,42,38,44,51,25,63,41,41,53,39,68,58,40,66,24,55,64,31,21,35,54,49,58,50,87,37,63,37,28,56,50,42,11,11,74,16,71,0,30,60,0
2017-10-01,60,10,37,36,40,43,43,24,62,38,44,46,38,66,61,36,64,29,53,62,36,20,28,59,49,53,53,94,35,63,40,23,51,49,43,12,7,100,17,87,6,27,56,0
2017-11-01,58,5,42,43,45,46,48,30,63,33,42,48,41,66,59,40,64,26,55,65,42,25,23,58,52,59,52,83,39,63,42,27,53,51,42,19,6,96,17,83,0,24,58,0
2017-12-01,65,5,38,41,42,43,47,23,57,30,43,51,36,64,49,34,62,22,50,68,35,28,25,64,48,53,49,80,31,58,34,25,50,48,40,17,6,92,19,74,0,20,45,0
2018-01-01,60,8,41,37,37,40,48,28,58,34,37,49,34,66,50,37,66,20,48,64,32,37,23,59,44,54,58,80,35,62,48,28,49,50,41,16,5,81,16,75,0,19,49,0
2018-02-01,64,14,37,34,40,40,45,26,62,36,42,45,34,66,50,39,64,20,48,60,35,54,23,56,43,53,54,76,34,59,35,25,51,48,37,16,7,69,16,71,4,28,42,0
2018-03-01,64,29,34,34,39,39,44,39,68,39,36,44,37,63,50,41,64,22,52,59,38,42,23,53,44,52,55,79,34,63,36,26,47,56,34,16,5,65,21,60,0,55,37,0
2018-04-01,61,35,32,33,40,35,46,28,60,37,37,44,36,58,49,38,59,19,47,64,34,25,26,56,40,55,45,78,37,57,37,25,41,47,35,11,10,68,22,100,0,51,33,0
2018-05-01,65,24,32,32,35,34,44,27,53,33,36,51,34,57,46,40,52,21,43,56,34,22,20,58,39,55,45,74,41,57,37,27,42,42,31,12,14,60,25,53,0,43,33,0
2018-06-01,65,19,32,31,31,38,45,23,56,32,38,41,26,55,47,48,51,19,45,62,26,25,58,60,44,58,51,73,43,62,25,25,45,46,30,10,9,59,24,60,0,0,31,0
2018-07-01,63,9,35,32,33,34,43,100,64,36,40,47,27,65,49,44,56,16,44,56,29,53,37,56,40,57,55,77,35,56,22,25,44,48,29,9,9,47,21,55,0,0,35,0
2018-08-01,59,6,32,38,33,36,51,26,62,35,38,48,28,63,49,41,64,18,42,65,29,26,21,56,51,52,72,70,29,55,26,21,39,45,30,10,7,53,21,54,0,0,34,0
2018-09-01,53,6,32,33,32,37,50,22,55,35,41,37,31,61,45,43,56,20,43,76,33,16,19,56,69,49,94,68,28,51,26,23,34,41,28,11,8,41,20,47,4,0,36,0
2018-10-01,53,8,32,28,30,33,45,22,51,31,32,36,29,61,48,36,54,19,42,74,31,15,19,55,57,45,87,70,26,47,31,21,29,42,28,11,6,38,22,45,3,23,34,0
2018-11-01,58,5,32,32,30,37,41,21,51,27,34,37,31,56,43,34,56,17,44,82,34,16,19,61,65,47,83,71,25,52,26,24,31,43,27,17,6,42,23,46,6,45,37,3
2018-12-01,60,4,32,31,35,40,48,23,54,27,32,46,35,54,44,39,53,18,43,91,39,21,19,63,62,46,83,74,25,54,34,22,34,45,25,19,5,40,23,52,15,45,41,4
2019-01-01,56,5,34,35,30,39,41,24,54,31,34,36,32,55,46,44,52,19,42,89,37,29,18,56,53,45,78,77,29,50,26,23,38,50,24,18,4,37,22,63,14,44,42,4
2019-02-01,54,11,37,42,34,43,42,26,59,36,39,62,35,52,52,43,52,25,46,79,40,69,19,56,56,46,82,84,30,50,27,23,39,53,24,16,4,37,21,52,26,44,46,5
2019-03-01,55,19,35,39,33,39,41,22,55,35,36,48,35,52,49,42,47,19,42,79,36,29,18,53,66,48,78,80,28,50,25,22,35,49,21,16,6,33,20,52,14,41,43,5
2019-04-01,59,28,29,35,36,39,41,22,50,34,32,40,31,52,43,38,42,18,41,62,31,23,17,56,44,47,61,76,32,47,25,24,30,47,22,9,8,34,24,22,11,36,42,3
2019-05-01,58,23,31,44,33,40,47,22,49,32,34,53,33,53,44,41,48,18,39,80,35,20,16,59,52,50,65,71,34,51,27,24,33,45,23,12,14,33,27,8,8,41,48,4
2019-06-01,65,20,31,35,27,43,40,21,57,36,35,39,28,50,50,48,48,17,41,77,30,23,17,66,55,51,73,77,38,55,29,27,38,47,23,9,16,33,28,9,3,49,43,5
2019-07-01,66,9,32,34,29,48,50,28,60,38,49,43,31,51,51,50,53,20,43,73,32,47,17,63,77,52,80,80,38,53,28,29,40,55,22,10,10,36,25,22,0,55,51,4
2019-08-01,65,7,32,44,35,54,59,25,62,41,58,55,34,54,49,41,50,26,47,78,37,36,18,68,100,49,73,79,33,51,31,27,37,61,25,12,9,33,22,11,0,71,68,4
2019-09-01,68,7,36,49,39,58,54,26,64,42,73,46,40,58,54,44,54,27,51,85,39,19,17,67,89,51,87,81,33,62,34,27,37,66,27,14,7,29,25,11,3,100,69,5
2019-10-01,62,5,34,40,32,56,38,23,58,37,45,45,37,55,48,58,55,25,45,74,34,16,17,66,80,40,64,81,28,53,34,23,32,58,24,14,7,34,26,9,0,62,53,4
2019-11-01,65,4,41,41,40,58,43,26,62,39,46,58,40,55,53,44,62,23,51,84,43,20,19,66,77,52,71,82,36,62,41,27,39,55,25,25,7,34,26,11,0,68,54,4
2019-12-01,62,4,37,44,42,56,46,23,57,33,39,51,40,58,47,46,56,22,50,89,41,24,21,71,84,48,80,80,36,56,34,28,37,57,25,26,7,34,26,10,3,69,54,5
2020-01-01,68,6,34,51,45,59,50,26,61,36,40,48,37,58,51,50,54,22,54,81,38,36,20,66,76,48,68,80,33,59,38,31,39,63,25,22,7,29,26,11,4,63,58,4
2020-02-01,71,9,38,45,41,58,43,26,65,42,54,45,43,62,54,49,61,24,53,81,40,43,20,64,65,49,70,80,35,59,34,31,38,64,25,19,9,30,25,10,0,73,71,4
2020-03-01,70,11,30,38,34,46,46,24,84,42,65,90,39,82,36,39,77,24,51,53,32,21,16,41,57,37,57,82,27,41,31,31,31,51,43,19,5,17,16,10,3,55,63,2
2020-04-01,94,19,23,45,38,31,32,28,97,43,88,100,42,73,28,29,70,20,66,26,35,27,19,18,58,35,41,70,30,42,41,42,24,42,38,14,9,2,5,13,0,62,78,2
2020-05-01,95,35,32,49,38,61,28,29,93,51,83,97,41,68,37,39,67,21,77,41,36,22,21,21,82,41,46,82,37,45,53,47,31,66,32,18,15,7,8,12,0,62,77,3
2020-06-01,86,18,35,45,33,97,32,26,89,50,74,76,37,68,36,44,71,17,74,47,39,24,20,26,81,41,40,89,42,44,49,54,34,86,32,18,11,5,7,10,0,52,56,3
2020-07-01,90,11,37,57,33,92,33,30,88,60,71,67,39,68,41,47,70,25,77,46,39,30,24,26,79,40,41,98,46,46,45,53,37,90,30,21,11,3,6,10,0,42,56,3
2020-08-01,94,7,36,67,38,94,32,30,82,58,72,55,46,67,41,55,69,21,71,52,44,26,23,33,79,44,48,86,39,56,58,46,37,90,33,27,10,4,9,12,0,45,60,2
2020-09-01,93,8,40,78,43,97,34,33,83,66,84,48,65,76,41,54,67,25,71,55,48,28,25,42,80,46,43,100,39,49,65,45,38,100,34,39,11,6,13,13,0,74,74,3
2020-10-01,94,6,39,65,34,85,28,27,73,58,68,36,53,66,41,47,57,27,65,58,51,22,21,48,67,41,45,90,35,46,59,34,33,86,29,41,12,9,16,13,3,34,61,3
2020-11-01,90,5,41,61,34,82,33,29,69,55,75,44,46,73,38,46,55,28,60,65,43,22,22,57,68,43,44,90,34,51,62,36,34,82,28,45,13,14,21,10,0,23,56,3
2020-12-01,91,4,41,80,46,86,33,30,70,53,78,38,68,76,43,55,59,28,71,74,51,41,31,66,68,47,50,93,42,49,70,39,39,89,39,59,8,18,27,17,3,32,68,3
2021-01-01,90,6,42,64,42,84,33,30,70,53,60,36,54,77,42,61,57,23,67,72,46,31,24,70,63,46,51,86,40,47,61,45,40,87,34,45,8,17,33,12,0,53,63,3
