date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2014-12-01,65,0,48,0,14,0,0,46,33,25,23,56,28,35,13,27,39,22,53,36,0,31,64,69,17,50,0,26,0,48,0,0,43,0,0,0,0,0,0
2015-01-01,65,0,48,0,16,0,0,52,34,22,0,54,31,37,0,18,44,29,56,36,16,35,66,59,28,59,30,25,0,47,0,0,27,0,52,0,0,0,0
2015-02-01,54,0,43,0,20,0,0,48,34,21,0,54,48,32,19,23,49,29,53,33,16,39,48,64,0,62,0,24,0,56,0,0,0,0,36,0,0,34,0
2015-03-01,61,0,42,0,23,0,100,52,32,28,26,50,39,33,21,0,46,24,59,37,15,46,48,55,36,59,0,30,0,51,0,0,0,0,37,0,0,0,0
2015-04-01,83,0,42,0,20,0,0,44,33,28,0,44,35,35,18,25,48,27,57,33,0,44,50,61,18,63,0,38,0,49,0,0,0,0,31,0,0,0,0
2015-05-01,100,0,42,0,17,0,0,46,32,25,0,44,40,30,21,0,46,28,55,30,15,26,60,62,0,55,0,37,0,40,0,0,0,0,34,0,0,0,0
2015-06-01,64,0,46,0,15,0,0,59,31,23,0,44,28,29,16,0,41,28,66,31,12,27,64,58,19,61,0,24,21,52,0,0,34,0,34,0,0,0,0
2015-07-01,60,0,51,0,20,0,0,52,33,24,17,45,21,34,13,0,40,27,56,38,12,32,60,64,32,55,0,24,0,59,0,0,34,0,0,0,0,48,0
2015-08-01,57,0,46,0,23,0,0,50,31,22,0,45,24,33,13,19,52,24,60,31,15,27,51,62,30,57,0,25,17,45,0,0,0,0,0,0,0,0,0
2015-09-01,51,0,44,0,24,0,0,49,30,23,30,43,46,30,16,22,63,23,52,25,14,27,41,56,35,56,0,22,0,29,0,0,0,0,28,0,0,42,0
2015-10-01,44,0,44,0,19,0,0,43,31,21,50,45,36,29,12,21,55,22,57,25,0,27,36,56,20,59,11,21,0,38,0,0,0,0,0,0,0,0,0
2015-11-01,44,0,49,0,19,0,0,57,30,20,26,51,17,30,15,16,56,23,56,30,18,45,43,62,19,58,0,24,26,36,0,0,0,0,41,0,0,34,0
2015-12-01,51,0,56,0,20,0,0,45,28,24,0,48,19,35,9,25,48,28,55,38,15,47,51,79,29,52,0,25,0,45,0,0,0,12,34,0,0,0,0
2016-01-01,43,0,47,0,23,0,0,50,31,17,22,49,37,32,0,17,39,31,49,34,12,29,45,64,19,58,0,26,21,45,0,0,24,0,31,0,0,28,0
2016-02-01,38,0,46,0,24,0,0,54,33,19,56,46,42,29,11,23,49,27,52,31,16,31,37,63,28,53,0,29,0,46,0,0,41,0,43,0,0,0,0
2016-03-01,41,0,51,0,21,0,0,49,31,26,80,49,37,29,8,30,46,31,49,39,10,33,34,66,35,55,0,29,22,47,0,54,35,13,37,0,0,48,0
2016-04-01,37,0,55,0,22,0,0,58,31,28,61,43,38,28,18,26,49,34,52,33,10,26,38,62,50,52,0,38,0,41,67,0,27,9,34,0,0,0,0
2016-05-01,40,0,53,0,17,0,0,48,32,23,24,42,42,27,19,31,47,27,48,34,15,29,41,71,37,49,0,41,17,43,0,0,0,0,29,0,0,0,0
2016-06-01,43,100,63,0,18,0,0,50,32,25,36,49,31,28,18,16,42,29,52,35,0,24,49,60,38,53,0,31,20,54,0,0,24,18,28,0,0,30,0
2016-07-01,49,0,78,0,24,0,0,43,32,42,33,50,22,30,20,0,38,33,53,43,12,30,38,75,22,56,0,28,0,43,0,0,25,12,31,0,0,0,0
2016-08-01,35,0,63,0,22,0,0,53,30,32,0,44,30,29,10,30,49,25,51,34,0,32,37,66,21,56,0,27,0,49,0,0,33,13,50,0,0,0,0
